English	Finnish	Vosa
Eco smart healthy place 	Ekoälytervelä	Ekovisterlo 
A miniature world with ecological, social and economic sustainability.	Pienoismaailma, jossa on ekologinen, sosiaalinen ja taloudellinen kestävyys.	Ipköl vi ekodäva, sosva a rostava ögvovao.
Design of an eco-smart village (imaginary)	Ekoälykylän suunnittelu (kuvitteellinen)	Ekoviscel kasoto (mikava)
For the use of the EIP ideation, planning and training group, prepared by Veikko J. Pyhtilä, 10/10/2020	EÄS-ideointi-, suunnittelu- ja koulutusryhmän käyttöön, laatinut Veikko J. Pyhtilä, 10.10.2020	For EVTL-ideaate-, kasoto- a padaavte iksio teo, kasoteen Veikko J. Pyhtilä, 10.10.2020
We have come from the ideation of a joint project to the planning phase, which can also contain countless smaller and bigger ideas. Many kinds of hobby and business activities can be born from this. An eco-intelligent village can be the basic unit of an eco-intelligent region (municipality), which can be several, of various types and sizes.	Olemme päässeet yhteisen projektin ideoinnista suunnitteluvaiheeseen, joka voi myös sisältää lukemattomasti pienempiä ja suurempia ideoita. Tästä voi poikia monenlaista harrastus- ja yritystoimintaa. Ekoälykylä voi olla ekoälyseudun (kunnan) perusyksikkö, joita voi olla useita, monenlaisia ja -kokoisia.	Ajsi oo aftuuen ut viofva pitöob ideaate tu kasoto feisno, koö voo ali inoof rikriiejva ippir a pipir idesi. Ut tä voo tenöee siliva mite- a tralöote. Ekovisterlo voo oo besrio of ekovisraflo (dilof), kösi voo oo si, siliva a sipipriva.
Voluntary work and a hobby that can develop us all into fruitful cooperation. If you otherwise can't and don't want to participate, you could at least give feedback, opinions and suggestions. Information, skills, art, know-how and work depending on how each one is oriented. Some are more knowledge and theory people, while others are skill, art or practical people. We have all of them mixed up, hidden abilities to be used for the common good!	Vapaaehtoistyötä ja harrastusta, joka voi kehittää meitä kaikkia tuloksekkaaseen yhteistyöhön. Jos ei muuten voi eikä halua osallistua, niin ainakin voisi antaa palautetta, mielipiteitä ja ehdotuksia. Tiedot, taidot, taide, osaaminen ja työ sen mukaan kuin kukin on suuntautunut. Jotkut ovat enemmän tieto- ja teoriaihmisiä, toiset taasen taito-, taide- tai käytännön ihmisiä. Meissä on kaikkea niitä sekoitettuna, piilokyvyt käyttöön yhteiseksi hyväksi!	Friofratö a mite, koö voo deev ajsi ki tu utrova vitö. If ej tuali ofraa ikaap, itli ripstli vooif faa deöbsasi, micusi a tajsasi. Dasi, livosi, kav, davoote a tö vili it obki oo autobdiiren. Öjosi oo pir da- a omdalio mämsi, tuasi anen a livo-, kav- taj liote mämsi. Ajsi ki oof itsi li parääjen, hidlo votesi tu teo for viofva hava!
Preliminary plan. You have to start from somewhere. You can send your own drawings and plans, additions, change proposals for subtitles. We can discuss the plan in our wa-group. Pictures and texts can be sent to my e-mail, or a shared e-mail can be created to which all members of the group can copy the files to their own computers.	Alustava suunnitelma. Jostakin on lähdettävä. Voitte lähettää omia piirroksia ja suunnitelmia, lisäyksiä, muutosehdotuksia tekstitykseen. Voidaan keskustella wa-ryhmässämme suunnitelmasta. Kuvat ja tekstit voi lähettää sähköpostiini tai voidaan luoda yhteinen sähköposti, jonne lähetetään ja josta kaikki ryhmän jäsenet voi kopioida tiedostot omille tietokoneilleen.	Alteeva kasoto. Ut koö piit urtuu. Jasi voo pagaa öfva katetosi a kasotosi, piirtesi, muotajsasi tu kir. Voota visasaa in ajsiof vua-iksiosi öb kasoto. Katosi a kirsi voo pagaa tu sähpagat of Veikko taj voota novtee viofva sähpagat tukasa, kotu pagaata a kout ki vesi of iksio voo relitoo sidasi tu öfva davö.
Values: Community spirit, supporting ourselves and others, only right christianity which is work of Holy Spirit (and not man-made), health, nature, exercise, working together, doing, learning, etc.	Arvot: Yhteisöllisyys, itsemme ja muiden tukeminen, ainoa oikea kristillisyys mikä on Pyhän Hengen työ (eikä ihmisen teko), terveys, luonto, liikunta, yhdessä harrastaminen, tekeminen, oppiminen jne.	Rosi: Isvisiolivao, suupte aut a tuasi, eris ratva kristvao ko oo tö of Pyhva Ho (a ej te of mäm), tervao, biolo, uute, vili miteete, teete, daavte a itli de.
Sharing economy: Shared eco-cars, boats, bicycles, tools, gardening machines, etc. Products can be recycled. Let's save on expenses.	Jakamistalous: Yhteiset ekoautot, veneet, polkupyörät, työkalut, puutarhanviljelyn koneet yms. Voidaan kierrättää tuotteita. Säästetään menoissa.	Ikfaate rosta: Viofva ekotuvösi, vuvosi, durauvosi, tövosi, tolsieplo viilte vösi a pir tua. Voota torauu tosi. Ropaoota in rovripsi.
Accessibility, the use of smart devices and support for the healthiest so that even the disabled and the elderly could live at home as long as possible. In this case, society also saves costs.	Esteettömyys, älylaitteiden käyttö ja terveimpien tuki niin että vajaakuntoinen ja vanhuskin voisi asua mahdollisimman pitkään kotonaan. Tällöin yhteiskuntakin säästää kuluissa.	Yvejvao, visvösi pate a terpirsiof sup itli, syt alfulvostava a unjo a vooif eloo vostli luna in häof bal. Täna visoslo a ropaoo in rovripsi.
What else, what additions, what changes?	Mitä muuta, mitä lisäyksiä, mitä muutoksia?	Kosi tua, kosi piirtesi, kosi muosi?
Eco smart healthy place plan 001	 Ekoälyterveä suunnitelma 001	 Ekovisterlo kasoto 001
1. Workshop, laboratory, art space, library, training space, etc.	1. Verstas, laboratorio, taidetila, kirjasto, koulutustila jne.	1. Metpumtölo, dakalo, kavtil, sikirlo, padaavtetil aid.
2. Sauna, gym and small meeting room. Beach, low hedge.	2. Sauna, kuntosali ja pieni kokoustila. Uimaranta, matala pensasaitaus.	2. Läktol, vostau pitolik a ipva visahäptil. Vuvamdim, lyva puplimto.
 3. Mini house with yards and gardens. There can be 10-40 of them in such a village unit.	3. Minitalo pihoineen ja puutarhoineen. Niitä voi olla vaikka 10-40 kpl tällaisessa kyläyksikössä.	3. Ipliva tol vi tolleilo a tolsieplo. Itsi voo oo tajli 10-40 öiksi in täva celrio.
4. Lake	4. Järvi	4. Divamlo
5. A sparsely planted beach park, so that you can see the lake and there would be fewer mosquitoes.	5. Harvaistutuksinen rantapuistikko, että näkee järvelle ja hyttysiä olisi vähemmän.	5. Hitli eptesiiten vamdim siputo, syt vokaa tu divamlo a hytpegsi ooif rip.
6. Co-cultivation: Herbs, vegetables, roots, berries, fruits.	6. Yhteisviljelys: Yrtit, vihannekset, juurekset, marjat, hedelmät.	6. Viofvillo: Terepsi, grinemsi, juremsi, bersi, hedsi.
7. A forest with nature and jogging paths. Good berry and mushroom growing lands.	7. Metsää, jossa luonto- ja lenkkipolkuja. Hyvät marjastus- ja sienestysmaat.	7. Pul, koin biolo a turou batulsi. Hava bersikaapte a fungsikaapte molsi
8. Quiet highway	8. Hiljainen maantie	8. Öhva ditul
9. Playground, also serves as an additional parking space if needed.	9. Pelikenttä, toimii myös lisäparkkipaikkana tarvittaessa.	9. Ple leimol, otee ali li pirtuvöpalo na niidta.
10. Greenhouse	10. Kasvihuone	10. Eptolik
11. Garbage and composting	11. Roskis ja kompostointi	11. Nilkölo a biojätmuute
12. Drying of herbs, storage and cold storage of natural and cultivated products.	12. Yrttien kuivaus, luonnon ja viljeltyjen tuotteiden säilytys- ja kylmätilat.	12. Terepsi toovte, biolo a viilen tosi palo- a kaltilsi.
 13. Forest log cabin	13. Metsäpirtti	13. Pulnitputol
14. Fish farming pond	14. Kalanviljelyslampi	14. Fisviilte cevamlo 
15. Boat dock, a few boats shared.	15. Venelaituri, muutama vene yhteiskäytössä.	15. Vuvo vamdimos, ipsi vuvosi li viofteo.
Design of eco mini houses	Ekominitalojen suunnittelu	Ekoiplitolsi kasoto
Anyone who wants to can preliminarily design their own and send their proposal. We can design a prototype together.	 Jokainen, joka haluaa, voi suunnitella omanlaisensa alustavasti ja lähettää ehdotuksensa. Voidaan yhdessä suunnitella prototyyppiä.	 Ki, kojo ofraa, voo kasoo öfliva alteeli a pagaa häof tajsa. Voota vili kasoo nölikato.
Information about cheap and environmentally friendly materials	Tiedot halvoista ja ympäristöystävällisistä materiaaleista	Dasi öb lyrovva a biolohavicuva tomosi.
A table with a list of building supplies and materials should be made. Column names: Product, manufacturer, carbon footprint assessment, weight, size, intended use, guide price, other significant properties of the material, link to website for product description. You can say other column names and data to be collected. Look for good sources of information on the Internet, from which the information can be gathered.	Olisi tehtävä taulukko, jossa on rakennustarvikkeiden ja materiaalien luettelo. Sarakkeiden nimiä: Tuote, valmistaja, hiilijalanjäljen arviointi, paino, koko, käyttökohde, ohjehinta, materiaalin muut merkittävät ominaisuudet, linkki nettisivuille tuoteselosteeseen. Voitte sanoa muita sarakenimiä ja tietoja, joita kerätään. Etsikää hyviä tietolähteitä netistä, joista saadaan tiedot koottua.	Piitif tee sikvaäng, koin oo tooltenidobsi a tomosi lurik. Lyjär ersasi: To, toojo, moCtuvedeka rokaate, hevri, pipri, teo-ob, lidarovri, tua curova ofvaosi of tomo, rutupa tu netsisid toöbklirsa. Jasi voo saa tuasi lyjärersasi a dasi, kosi kaapta. Seek jasi hava dasorssi ut vinet, ob kosi aafta dasi viaapen.
Which program is used to design and simulate a house?	Millä ohjelmalla suunnitellaan ja simuloidaan taloa?	Vy ko prog kasoota a liretekaata?
