Tunniste	English	Finnish	Vosa
1	Eco smart healthy place 	Ekoälytervelä	Ekovisterlo 
2	A miniature world with ecological, social and economic sustainability.	Pienoismaailma, jossa on ekologinen, sosiaalinen ja taloudellinen kestävyys.	Ipköl vi ekodäva, sosva a rostava ögvovao.
3	Design of an eco-smart village (imaginary)	Ekoälykylän suunnittelu (kuvitteellinen)	Ekoviscel kasoto (mikava)
4	For the use of the EIP ideation, planning and training group, prepared by Veikko J. Pyhtilä, 10/10/2020	EÄS-ideointi-, suunnittelu- ja koulutusryhmän käyttöön, laatinut Veikko J. Pyhtilä, 10.10.2020	For EVTL-ideaate-, kasoto- a padaavte iksio teo, kasoteen Veikko J. Pyhtilä, 10.10.2020
5	We have come from the ideation of a joint project to the planning phase, which can also contain countless smaller and bigger ideas. Many kinds of hobby and business activities can be born from this. An eco-intelligent village can be the basic unit of an eco-intelligent region (municipality), which can be several, of various types and sizes.	Olemme päässeet yhteisen projektin ideoinnista suunnitteluvaiheeseen, joka voi myös sisältää lukemattomasti pienempiä ja suurempia ideoita. Tästä voi poikia monenlaista harrastus- ja yritystoimintaa. Ekoälykylä voi olla ekoälyseudun (kunnan) perusyksikkö, joita voi olla useita, monenlaisia ja -kokoisia.	Ajsi oo aftuuen ut viofva pitöob ideaate tu kasoto feisno, koö voo ali inoof rikriiejva ippir a pipir idesi. Ut tä voo tenöee siliva mite- a tralöote. Ekovisterlo voo oo besrio of ekovisraflo (dilof), kösi voo oo si, siliva a sipipriva.
6	Voluntary work and a hobby that can develop us all into fruitful cooperation. If you otherwise can't and don't want to participate, you could at least give feedback, opinions and suggestions. Information, skills, art, know-how and work depending on how each one is oriented. Some are more knowledge and theory people, while others are skill, art or practical people. We have all of them mixed up, hidden abilities to be used for the common good!	Vapaaehtoistyötä ja harrastusta, joka voi kehittää meitä kaikkia tuloksekkaaseen yhteistyöhön. Jos ei muuten voi eikä halua osallistua, niin ainakin voisi antaa palautetta, mielipiteitä ja ehdotuksia. Tiedot, taidot, taide, osaaminen ja työ sen mukaan kuin kukin on suuntautunut. Jotkut ovat enemmän tieto- ja teoriaihmisiä, toiset taasen taito-, taide- tai käytännön ihmisiä. Meissä on kaikkea niitä sekoitettuna, piilokyvyt käyttöön yhteiseksi hyväksi!	Friofratö a mite, koö voo deev ajsi ki tu utrova vitö. If ej tuali ofraa ikaap, itli ripstli vooif faa deöbsasi, micusi a tajsasi. Dasi, livosi, kav, davoote a tö vili it obki oo autobdiiren. Öjosi oo pir da- a omdalio mämsi, tuasi anen a livo-, kav- taj liote mämsi. Ajsi ki oof itsi li parääjen, hidlo votesi tu teo for viofva hava!
7	Preliminary plan. You have to start from somewhere. You can send your own drawings and plans, additions, change proposals for subtitles. We can discuss the plan in our wa-group. Pictures and texts can be sent to my e-mail, or a shared e-mail can be created to which all members of the group can copy the files to their own computers.	Alustava suunnitelma. Jostakin on lähdettävä. Voitte lähettää omia piirroksia ja suunnitelmia, lisäyksiä, muutosehdotuksia tekstitykseen. Voidaan keskustella wa-ryhmässämme suunnitelmasta. Kuvat ja tekstit voi lähettää sähköpostiini tai voidaan luoda yhteinen sähköposti, jonne lähetetään ja josta kaikki ryhmän jäsenet voi kopioida tiedostot omille tietokoneilleen.	Alteeva kasoto. Ut koö piit urtuu. Jasi voo pagaa öfva katetosi a kasotosi, piirtesi, muotajsasi tu kir. Voota visasaa in ajsiof vua-iksiosi öb kasoto. Katosi a kirsi voo pagaa tu sähpagat of Veikko taj voota novtee viofva sähpagat tukasa, kotu pagaata a kout ki vesi of iksio voo relitoo sidasi tu öfva davö.
8	Values: Community spirit, supporting ourselves and others, only right christianity which is work of Holy Spirit (and not man-made), health, nature, exercise, working together, doing, learning, etc.	Arvot: Yhteisöllisyys, itsemme ja muiden tukeminen, ainoa oikea kristillisyys mikä on Pyhän Hengen työ (eikä ihmisen teko), terveys, luonto, liikunta, yhdessä harrastaminen, tekeminen, oppiminen jne.	Rosi: Isvisiolivao, suupte aut a tuasi, eris ratva kristvao ko oo tö of Pyhva Ho (a ej te of mäm), tervao, biolo, uute, vili miteete, teete, daavte a itli de.
9	Sharing economy: Shared eco-cars, boats, bicycles, tools, gardening machines, etc. Products can be recycled. Let's save on expenses.	Jakamistalous: Yhteiset ekoautot, veneet, polkupyörät, työkalut, puutarhanviljelyn koneet yms. Voidaan kierrättää tuotteita. Säästetään menoissa.	Ikfaate rosta: Viofva ekotuvösi, vuvosi, durauvosi, tövosi, tolsieplo viilte vösi a pir tua. Voota torauu tosi. Ropaoota in rovripsi.
10	Accessibility, the use of smart devices and support for the healthiest so that even the disabled and the elderly could live at home as long as possible. In this case, society also saves costs.	Esteettömyys, älylaitteiden käyttö ja terveimpien tuki niin että vajaakuntoinen ja vanhuskin voisi asua mahdollisimman pitkään kotonaan. Tällöin yhteiskuntakin säästää kuluissa.	Yvejvao, visvösi pate a terpirsiof sup itli, syt alfulvostava a unjo a vooif eloo vostli luna in häof bal. Täna visoslo a ropaoo in rovripsi.
