Hapir visosolo- a köljär	Better social and world order	Parempi yhteiskunta- ja maailmanjärjestys
Grinva a bluva rauköl.	Green and blue globe.	Vihreä ja sininen maapallo.
Hyjsivälva rataf a visoptosi reekta.	International law and agreements are being violated.	Kansainvälistä oikeutta ja sopimuksia rikotaan.
Teeta visoptosi, kosi teliim tihnaköllili görilsaaen autnava pöhylsiof autpösaratafsi.	Agreements are made that limit the self-determination rights of universally recognized independent states.	Tehdään sopimuksia, jotka rajoittavat yleismaailmallisesti tunnustettujen itsenäisten valtioiden itsemääräämisoikeuksia.
Mämsiof besratafsi ki ej oof.	Not everyone has basic human rights.	Ihmisten perusoikeuksia ei kaikilla ole.
If saa micu ög nenva pöte, meej auttuu tu ongvovaosi, mu ahpaeöönen taj tu irflö, ej aftuu mu hyjsieedjo ifojo.	If you say an opinion against the current administration, you can get into trouble, be killed or go to prison, you can't be a candidate for parliament.	Jos sanoo mielipiteen nykyhallintoa vastaan, voi joutua hankaluksiin, surmatuksi tai vankilaan, ei pääse kansanedustajaehdokkaaksi.
Tarmuuta pöurka.	The election is rigged.	Vaalia väärennetään.
Hö of ögsio a ratva darilvao ej aaf authöö.	The voice of the opposition and the real truth must not be heard.	Opposition ja oikean totuuden ääni ei saa kuulua.
Ahdayste, sitarteete, pipiirte, alrocute a tarva tu fisi a unda tusyyte.	Propaganda, distortion, exaggeration, belittling and false appeal to emotions and history.	Propaganda, vääristely, suurentelu, vähättely ja väärä tunteisiin ja historiaan vetoaminen.
Tarva sidariilte öb aut a raftsjosi.	False testimony about yourself and your loved ones.	Väärä todistelu itsestä ja lähimmäisistä.
Tarva a obnidriejva pöcuutesi.	Wrong and unreasonable judgments.	Väärät ja kohtuuttomat tuomiot.
Pösote ej oo rattarva a lioova Hajo-of obra.	Legislation is not ethical and in accordance with God's will.	Lainsäädäntö ei ole eettistä ja Jumalan tahdon mukaista.
Ahtofao.	Corruption.	Lahjonta.
Ahsio.	Mafia.	Mafia.
Pösorekvao	Crime.	Rikollisuus.
Autcuvao.	Selfishness.	Itsekkyys.
Obtraate öfva edro a pivao vy tuaof hyjjosi a hyjsiosi rovpa.	The pursuit of self-interest and greatness at the expense of other citizens and nations.	Oman edun ja suuruuden tavoittelu muiden kansalaisten ja kansakuntien kustannuksella.
Teoota aut yllireli hapir il tuasi, a ej vokaa öfva soviksi a opvaosi.	Are considered themselves superior to others, and do not see their own mistakes and weaknesses.	Pidetään itseä ylivertaisesti parempana muita, eikä nähdä omia virheitä ja heikkouksia.
Talpö ej otee a ej oo rorilva.	Democracy does not work and is not genuine.	Demokratia ei toimi eikä ole aito.
Gösiosi oo erisli is, ko oof sapölo taj du, kona hyj oo duikli autiiken, ej oo hali a ratli oteeva sigösio lijär.	There is only one party with a dictatorship or two, when the people are divided, there is no well and properly functioning multi-party system.	Puolueita on vain yksi, jolla diktatuuri tai kaksi, jolloin kansa on kahtiajakautunut, ei ole hyvin ja oikein toimivaa monipuoluejärjestelmää.
Ki fuljänriva hyjjosi ei oof pöhaka rataf a ej rataf autlopaa mu ifojo.	Not all adult citizens have the right to vote or the right to stand as a candidate.	Kaikilla täysikäisillä kansalaisilla ei ole äänioikeutta eikä oikeutta asettua ehdokkaaksi.
Ämsi oo in alpolyyen custa erkaaenna tu mäsi.	Women are in a subordinate position compared to men.	Naiset ovat alistetussa asemassa miehiin verrattuna.
Pö a ritsvaosi autmiid intu pavesi of hitvasi.	Power and riches are concentrated in the hands of a few.	Valta ja rikkaudet keskittyvät harvojen käsiin.
Ögsio ej voo otee fulli frili, a ej voo aag hava idesi a tajifosi kaedle.	The opposition cannot act completely freely, and cannot bring forward good ideas and alternatives.	Oppositio ei voi toimia täysin vapaasti, eikä voi tuoda hyviä ideoita ja vaihtoehtoja esille.
Pivaosivvao, ofraata oo pihyl a alpolyy ippir hyjsi.	Megalomania, wanting to be a great power and subjugate smaller nations.	Suuruudenhulluus, halutaan olla suurvalta ja alistaa pienempiä kansoja.
Bajsonhyjsi oo in sip vigög a popir alpolyy oppir syyli ejhavisop a luarvao vältu hyjsi a mämsi.	Fraternal nations are also at war with each other, and the stronger subjugates the weaker, causing discord and bitterness between nations and people.	Veljeskansatkin ovat sodassa keskenään ja vahvempi alistaa heikompaa aiheuttaen epäsopua ja katkeruutta kansojen ja ihmisten välille.
Sempaata luarvao a ersop vy tarva oblikaate a oteete, vy silomuu a pötee alide.	They sow bitterness and discord with wrong influence and action, divide and conquer principle.	Kylvetään katkeruutta ja eripuraisuutta väärällä vaikuttamisella ja toiminnalla, hajota ja hallitse periaatteella.
Obtraate pö a tarliva hon, tarobahtevao, ejmejussi, luarvao, ar.	The pursuit of power and false glory, paranoia, suspicions, bitterness, anger.	Vallan ja väärälaisen kunnian tavoittelu, vainoharhaisuus, epäluulot, katkeruus, viha.
Pivasi a povasi ahpircuu ipvasi a opvasi.	The big and strong oppress the small and weak.	Isot ja vahvat sortavat pieniä ja heikkoja.
Pirstrisi ahpircuu ripstrisi.	Majorities oppress minorities.	Enemmistöt sortavat vähemmistöjä.
Tarobdafa, lirsaate a sitarteete toksmoo vicusi of mämsi a hyjsi, syy ersop a ar.	Disinformation, lying and distortion poisons the relationship between people and nations, causes discord and hatred.	Disinformaatio, valehtelu ja vääristely myrkyttää ihmisten ja kansojen välejä, saa aikaan eripuraisuutta ja vihaa.
Ej voo uscuu tu sasi of diirjosi.	You can't trust the words of people, leaders.	Ihmisten, johtajien sanoihin ei voi luottaa.
Hyj ej oo katdafaaen a varva for talpö, ej oo siteva in visoslova a köl pögöteva sosi, tejää ejli pöhakaa.	The people are not enlightened and mature for democracy, are not active in social and world political issues, do not vote.	Kansa ei ole valistunutta ja kypsää demokratiaan, ei ole aktiivinen yhteiskunnallisissa ja maailmanpoliittisissa asioissa, jättää äänestämättä.
Autalpolyy alle rak a siteraakte, sapöjosi a autgöpöva pötesi.	Submitting to fear, intimidation, dictators and authoritarian regimes.	Alistuu pelon, pelottelun, diktaattorien ja autoritaaristen hallintojen alle.
Auttuurta tu popitpö, sipsio a tursivö.	They resort to violence, the army and the security apparatus.	Turvaudutaan väkivaltaan, armeijaan ja turvakoneistoon.
