VosaFrequency	Vosa	English	Finnish
1	a	and	ja
1	it	it; the	se; sitä
2	of	possessive preposition; possessive suffix; of	omistusliite; omistusprepositio
2	oo	are; be; is; am	olen; ovat; olla; on
2	oof	has; have	omata; on; olla jollakin
3	ej	do not; does not; nay; no; non; nope; not	eivät; ei
3	pirri	and; plus	plus; ynnä
4	syt	that; in order to; so that	jotta; että
4	tu	to; unto	tykö; luo; luokse
4	ötu	to; somewhere	johonkin; jonnekin
5	ooen	been; was; were	oli; olivat; olleet; ollut
5	oofen	had	oli
5	ö	an; something; someone; somebody; anything; a; one	eräs; jokin; jotain; jotakin; muuan
6	in	in; inside; within; contained; indoors; inboard	sisällä; sisässä; -ssa
6	intu	in; into	sisään
6	obla	at the destination; in	perillä
7	for	for	varten
7	gö	for; on behalf of; pro	eteen; pro; puolesta
7	göfali	along; down to; for; with	myöten; myötä
7	hä	he; her; him; she	hän; hänet; häntä
7	obri	per; for	kohden; per; kohti
7	syfor	owing to; therefore; sake; on account of; in the interest of; for; due to; by reason of; because of; because; since; for sake of	koska; vuoksi; takia; sillä; johdosta; niin muodoin
8	mut	but	mutta; vaan
9	la	on; wearing; topped; upon	päällä; yllään; yllä
9	le	onto; over; on to; on; upon	päälle
9	le lao	on	pinnalle
9	luraf	along; alongside; on	varrella
9	vytu	by; on	varaan
10	il	than	kuin
10	ko	that; what; which	mikä; mitä; joka
10	kosi	that; which	jotka; mitkä
10	li	as; as well as; like; like that; such as	lailla; kuin; kuten
10	oo	are; be; is; am	olen; ovat; olla; on
10	ät	that; that there; yon	tuo; tuon
11	ali	too; also	myös; myöskin
11	intuni	by; through; via	kautta
11	sidut	straight past; past; by	ohitse; ohi
11	sidvi	at; beside; by; next to; on your side; alongside	rinnalla; vieressä
11	tu sido	by	oheen
11	tuno	by time; by	mennessä
11	tut	by; near; beside; at	luona; ääressä; äärellä; tykönä
11	vili	according; according to; by	mukaan
11	vy	by	avulla
12	na	whilst; amid; at; during; when	kun; aikana; klo
12	na tä	this	tänä
12	tä	this	tätä; tää; tämä
13	ofvi	included; accompanied; involved; with; involve; enclosed; accompanying; along; entrained	mukana
13	oo ja	be (2nd person imperative)	ole
13	tutvi	among; with; amongst; amidst; present	läsnä; parissa; seurassa
13	tuvi	along; with	mukaan
13	vi	withal; along with; with	kanssa; kera; lomassa; muassa; ohessa
14	aj	ego; I; me	minä; mä; minua; minut
14	itof	its	sen
15	ja	ye; you; thee; thou	sä; sinua; sinut; sinä
15	jasi	ye; you	teitä; te
15	taj	or	tai; taikka; vai
16	ki	all; all of; each; every; everybody; everyone; everything	joka; jokainen; kaikki
16	kojo	who; whom	joka; jota; ken; kenet; ketä; kuka
16	koö	which	jonka; joka
17	itli	like that; so; that way; thereby	niin; siten
18	tuasaali	i.e.; that is; or; in other words	eli; toisin sanoen
19	ripnen	already	jo
20	erisli	exclusively; just; merely; only; purely; solely	ainoastaan; vain; yksinomaan; yksinomaisesti
21	nööli	from	alkaen
21	ut	from	luota
22	if	if; provided that; whether	jos
22	tuttu	at; beside	ääreen; äärelle
23	itli li	as; like	niin kuin
23	li na	as	sitä mukaa kuin
23	nen	now	nyt
23	reri	as; equally	yhtä
24	jaof	thine; thy; your; yours	sinun
24	jasiof	your	teidän
24	ooif	would be	olisi
25	kio	all; entire; full; total; whole; whole of	koko; kokonais-
25	milkfät	butter	voi
25	voi	woe	voi
25	voo	be able; can	voi; voida
26	häof	her; his; hers	hänen
27	novva	fresh; new; novel	uusi
28	depirna	further; more; onward; still	edelleen
28	pir	further; more	enemmän; enempi; lisää
28	pirli	more	enemmälti
28	sipir	more	useampi
29	is	an; number one; one; single	yksi
29	pirnen	as yet; still; yet	vielä
30	a ali	and also	sekä
31	ajsi	us; we	meitä; meidät; me
31	iten	ago; since	sitten
31	itne	then; thereafter; subsequently; afterwards; after that	sen jälkeen; sitten
32	-ne	future of verb; shall; will	verbin futuuri; tulee
32	nesoo	purpose; will; be planning to do something; be going to; intend	aikoa
32	ob it	of it	siitä
32	obra	will; wish; volition	tahto
32	obraa	be willing to; volition; wish; want; will	tahtoa
32	ut it	thereof; from it; from that; therefrom	siitä
32	öb it	about it; about that	siitä
33	baj	menage; family; home	perhe
33	bal	home	koti
33	balraflo	home; home area	kotiseutu; koto
33	tu bal	home	kotiin; kotia
