Tunniste	Englanti	Suomi	Vosa
1	Vosa by topics and basic clauses over 3700 lines in english	Vosaa aiheittain ja peruslauseita yli 3700 riviä suomeksi	Vosa vy obsosi a besva lusasi ylri 3700 (tredis sevces) leijärsi mu vosa
2	AT FIRST	ALUKSI	NÖMU
3	You can first read through Vosa's shortish grammar.	Voit lukea ensin Vosan lyhyehkön kieliopin läpi.	Ja voo riik isvana mejulva vosdav inli.
4	The translations are not always word-for-word translations, but they strive for natural expressions in each language. A machine translator has been used in them as an aid.	Käännökset eivät ole aina sanasta sanaan käännöksiä, vaan niissä on pyritty luonteviin ilmaisuihin kussakin kielessä. Niissä on käytetty apuna konekääntäjää. 	Vosmuosi ej oo kina ut sa tu sa vosmuosi, mut in itsi oota tutraaen mu biocuova kautsasi in obki vos. Vosmuuvö oota teooen in itsi na vyo.
5	GREETINGS	TERVEHDYKSIÄ	MOJSASI
6	Yes / No	Kyllä / Ei	Je / ej
7	Good morning!	Hyvää huomenta!	Hava entan!
8	Good day!	Hyvää päivää!	Hava tan!
9	Good evening!	Hyvää iltaa!	Hava ennat!
10	Good night!	Hyvää yötä!	Hava nat!
11	Goodbye!	Näkemiin!	Vokaata!
12	You're welcome!	Olkaa hyvä!	Oo ja hava!
13	Thank you!	Kiitos!	Haforsa!
14	No problem.	Eipä kestä.	Ej ögvoo!
15	Sorry!	Anteeksi!	Ahhafali!
16	This is Matti.	Tämä on Matti.	Tä oo Matti.
17	This is Maija.	Tämä on Maija.	Tä oo Maija.
18	I am Veikko.	Olen Veikko.	Aj oo Veikko.
19	Nice to meet you.	Hauska tutustua.	Hehobva vikadaa.
20	How are you?	Mitä kuuluu?	Ko obhöö?
21	Good thanks.	Kiitos hyvää.	Haforsa hava.
22	What about you?	Entäpä teille?	A ja?
23	DRESSING	PUKEUTUMINEN	AUTVAATTE
24	How do you dress?	Miten teillä on tapana pukeutua?	Koli jasi oof lio autvaat?
25	It is good to put on a sweater and a skirt or trousers for a journey.	Matkalle on hyvä pukea pusero ja hame tai housut.	Le rotuo oo hava vaat blusvat a skötvat taj harvat.
26	How much fabric is needed for the suit? What fabric is this?	Paljonko kangasta tarvitaan pukuun? Mistä kankaasta tämä on?	Kori vatmo niidta for rovat? Ko-ob vatmo tä oo?
27	She always dresses in fashion.	Hän pukeutuu aina muodin mukaisesti.	Hä autvaat kina vili tyl.
28	He wore a long suit.	Hänellä oli pitkä puku.	Hä oofen luva rovat.
29	I don't have a walking suit.	Minulla ei ole kävelypukua.	Aj ej oof vetuo rovat.
30	You have a beautiful black suit.	Teillä on kaunis musta puku.	Jasi oof kava tivva rovat.
31	That suit fits you well.	Sinulle sopii hyvin tuo puku.	For ja soop hali ät rovat.
32	Where can I iron a suit?	Missä voi silittää puvun?	Koin voo vatsiil rovat?
33	Can I take the suit jacket off?	Voiko ottaa puvun takin pois?	Vooko aap rovat ylluvat yr?
34	Can I take off my jacket?	Saanko riisua takin?	Aafko aj taav ylluvat?
35	Do I need to put on the raincoat?	Pitääkö panna sadetakki päälle?	Piitko paa vamly ylluvat le?
36	It's better not put it, the weather is beautiful.	Ei kannata pistää, sää on kaunis.	Ej rogöö paa, nista oo kava.
37	Where have you left your raincoat?	Minne olette jättänyt sadetakkinne?	Kotu jasi oo tejääen jasiof vamly ylluvat?
38	You can leave the jacket in the cloakroom.	Voit jättää takin vaatesäilöön.	Ja voo tejää ylluvat intu vatpalo.
39	Don't forget to take a swimsuit to the beach!	Älä unohda ottaa rannalle uimapukua!	Ej öös ja aap le vamdim vuvat!
40	You have a new hat, good luck!	Teillä on uusi hattu, onneksi olkoon!	Jasi oof novva hät, sakmu oo it!
41	I accidentally took the wrong cap.	Otin vahingossa väärän lakin.	Aj aapen in tekas tarva iphät.
42	Take the cap off!	Ottakaa lakki päästä!	Aap jasi iphät ur pä!
