Raulo-ongsi	Environmental problems	Ympäristöongelmat
Tihnali raulo-ongsi, itsiof sysi, hevrosi, gnosi a itsiof rokaate.	In general, environmental problems, their causes, weights, solutions and their evaluation.	Yleisesti ympäristöongelmat, niiden syyt,  painoarvot, ratkaisut ja niiden arviointi.
Piit tee midpaaen tihruva ylnetsisid, kout voota seek ongsi a gno tajifosi.	Acentralized, compact portal from which problems and solutions can be searched.	Tehtävä keskitetty tiivis portaali, josta voidaan hakea ongelmia ja ratkaisuvaihtoehtoja.
Sysi a deosi litekaate likatosi deevte a itsiof daka. Midpaaen dabes for sysi, deosi, gnosi a gnosi rokaate.	Development of simulation models of causes and consequences and their research. A centralized database of causes, consequences, solutions and evaluations of solutions.	Syiden ja seurausten simulointimallien kehittäminen ja niiden tutkimus. Keskitetty tietokanta syille, seurauksille, ratkaisuille ja ratkaisujen arvioinneille.
Tihnakölliva a hyjva pösote a visopto deevte a itsiof paote vovaate a leileiva hafa.	Development and enabling and widespread acceptance of global and national legislation and agreements.	Yleismaailmallisen ja kansallisen lainsäädännön ja sopimusten kehittäminen ja niiden toimeenpanon mahdollistaminen ja laaja hyväksyntä.
Pir daka, padaavte, katdafa. Dasorssi tihnali for voafna.	More research, training, education. Publicly available data sources.	Lisää tutkimusta, koulutusta, valistusta. Tietolähteet yleisesti saataville.
Homsta temuo	Climate change	Ilmastonmuutos
Sysi	Causes:	Syyt:
Eptolik hamsi sipiirte. Kikino molkalm a kalm mlaakte, eptolik hamsi autfriuur biolo a pir. Ögrova mosi fapasi tu hom. Siep, koö oteeif moCinemve, autriipte.	Increase in greenhouse gases. With the melting of permafrost and ice, more greenhouse gases are released from nature. Emissions of harmful substances into the air. Decrease in vegetation that would act as a carbon sink.	Kasvihuonekaasujen lisääntyminen. Ikiroudan ja jään sulaminen, kasvihuonekaasuja vapautuu luonnostakin enemmän. Haitallisten aineiden päästöt ilmaan. Kasvillisuuden, joka toimisi hiilinieluna, väheneminen.
Biova simuuo välna kalm limno a lakva limno a tuasi biova siermuosi.	Natural variation between the ice age and the warm season and other natural variations?	Luonnollinen vaihtelu jääkauden ja lämpimän kauden välillä ja muut luonnolliset vaihtelut?
Gnosi:	Solutions:	Ratkaisut:
Alsyva soklirap öb ki ripnen oova gnosi a vova neeva a deevnen oova. For hava darilkasaaen gnosi teoap.	A thorough study of all existing solutions and possible future and developing ones. Implementation of proven solutions.	Perusteellinen selvitys kaikista jo olemassa olevista ratkaisuista ja mahdollisista tulevista ja kehitteillä olevista. Hyväksi todettujen ratkaisujen käyttöönotto.
Jätri piirte	Increase in waste	Jätemäärän kasvu
Sysi:	Causes:	Syyt:
Tetoriipte oo obraaen piir, syt forfäsi a vinsi piirif.	There has been a desire to increase consumption so that markets and profits increase.	Kulutusta on haluttu lisätä, että markkinat ja voitot kasvaisivat.
Gnosi:	Solutions:	Ratkaisut:
Torauute rosta. Tetoriipjo katdafa.	Recycling economy. Consumer education.	Kierrätystalous. Kuluttajavalistus.
Ögvopir a lujänripir tosi a tuaelli bio silomuuva tosi.	More durable and longer-lasting products on the one hand and biodegradable products on the other.	Kestävämmät ja pitkäikäisemmät tuotteet ja toisaalta biohajoavat tuotteet.
Biolo sikauvao autstirpiirte	Depletion of biodiversity	Luonnon monimuotoisuuden köyhtyminen
Sysi:	Causes:	Syyt:
Ki eösi ej oof eovovaosi. Biolotosi ofpöap tetoriipte.	Not all organisms have a chance to survive. Hunting consumption of natural products.	Kaikilla eliöillä ei ole elinmahdollisuuksia. Luonnontuotteiden riistokulutus.
Gnosi:	Solutions:	Ratkaisut:
Viilta a paeöpiirta hitnova vaiksi a vyroteeta itsi lienoote. Pir biolo seefte leilosi. Pir katdafa.	Cultivate and grow rare species and promote their survival. More nature reserves. More enlightenment.	Viljellään ja kasvatetaan harvinaisia lajeja ja edistetään niiden säilymistä. Enemmän luonnonsuojelualueita. Lisää valistusta.
Bioloressi autroriipte	Depletion of natural resources	Luonnonvarojen hupeneminen
Sysi:	Causes:	Syyt:
Mämsi ofraa kina isli ylpir eotal, häsi a, kosi oof ripnen nidva görotosi. Torauute rosta ej otee fulvoli. Sipvo toote a sipsi toriip nidejli bioloressi a kireek biolo a beslitol.	People always just want a higher standard of living, even those who already have the necessary commodities. The recycling economy is not working perfectly. Arms production and wars are wasting natural resources and destroying nature and infrastructure.	Ihmiset haluavat aina vain korkeampaa elintasoa, nekin joilla on jo välttämättömät hyödykkeet. Kierrätystalous ei toimi täydellisesti. Asetuotanto ja sodat kuluttavat turhaan luonnonvaroja ja tuhoavat luontoa ja infraa.
Gnosi:	Solutions:	Ratkaisut:
Nidejva toriipte teöönte. Autnoovva bioloressi toote a teo pirpaate. Moejva görotosi toriipte pir a rip mova görotosi. Ki mämsi piitif otee gö viofva hava, a ej otee ylrili autli.	Ending unnecessary consumption. Increasing the production and use of renewable resources. Consumption of intangible assets more and less consumption of tangible assets. All people should work for the common good, and not act too selfishly.	Turhan kulutuksen lopettaminen. Uusiutuvien luonnonvarojen tuotannon ja käytön lisääminen. Aineettomien hyödykkeiden kulutusta enemmän ja vähemmän aineellisten hyödykkeiden kulutusta. Kaikkien ihmisten pitäisi toimia yhteisen hyvän puolesta, eikä toimia liian itsekkäästi.
Ahhö	Noise	Melu
Sysi:	Causes:	Syyt:
Tusta. Vösi	Transport. Machinery.	Liikenne. Koneet.
Gnosi:	Solutions:	Ratkaisut:
Öhpir tuuttevosi a vösi. Tusta riipte, tölosi a sersi tu raf elosi, fartö pir.	Quieter sounding vehicles and machines. Reducing traffic, jobs and services close to housing, more teleworking.	Hiljaisempi ääniset kulkuvälineet ja koneet. Liikenteen vähentäminen, työpaikat ja palvelut lähelle asuntoja, etätyötä enemmän.
MoOtre kayyrte	Ozone depletion	Otsonikato
Sysi:	Causes:	Syyt:
Ögrova kemmosi tu hom.	Harmful chemicals in air.	Haitalliset kemikaalit ilmaan.
Gnosi:	Solutions:	Ratkaisut:
Ögrova kemmosi sijfaata vy ögroejva. Grinva kemda.	Harmful chemicals are replaced by harmless ones. Green chemistry.	Haitalliset kemikaalit korvataan haitattomilla. Vihreä kemia.
Sivamlosi a almol authapmuute	Acidification of water bodies and soils	Vesistöjen ja maaperän happamoituminen
Sysi:	Causes:	Syyt:
Ahnilkmosi lyomosi ut hom a fapasi ut nilkvamgasi.	Pollution deposition from the air and emissions from sewers.	Saasteiden laskeumat ilmasta ja päästöt viemäreistä.
Gnosi:	Solutions:	Ratkaisut:
Grinva kemda. Sivamlosi kliinte culitesi.	Green chemistry. Water purification methods.	Vihreä kemia. Vesistöjen puhdistusmenetelmät.
Sivamlosi pirieepte	Eutrophication of water bodies	Vesistöjen rehevöityminen
Sysi:	Causes:	Syyt:
Ögrova fapasi tu sivamlosi.	Harmful emissions to water.	Haitalliset päästöt vesistöihin.
Gnosi:	Solutions:	Ratkaisut:
Hapir vamkliinte tekdä dev a teoap. Grinva kemda, syt ej uutif itli siri ögrova fapasi.	Development and introduction of better water treatment technologies. Green chemistry that would not be so much harmful emissions.	Parempien vedenpuhdistusteknologioiden kehitys ja käyttöönotto. Vihreä kemia, että ei tulisi niin paljon haitallisia päästöjä.
Raulo toksmosi a raulo kemmopiirte	Environmental toxins and chemicalization of the environment	Ympäristömyrkyt ja ympäristön kemikalisoituminen
Sysi	Causes:	Syyt:
Ögrova kemmosi. Na tosi silomuu in biolo meej ali uut ögrova vimosi.	Harmful chemicals. When products decompose in nature, harmful compounds may also be released.	Haitalliset kemikaalit. Tuotteiden hajotessa luonnossa saattaa myös tulla haitallisia yhdisteitä.
Gnosi:	Solutions:	Ratkaisut:
Grinva kemda. Tetoriipjo katdafa. Biolohavicuva a biolotosi pir tu teo-obsi.	Green chemistry. Consumer education. More environmentally friendly and natural products for more uses.	Vihreä kemia. Kuluttajavalistus. Luontoystävällisiä ja luonnontuotteita enemmän käyttökohteisiin.
Öb raulo hassi tarkpir lurik	A more detailed list of environmental challenges	Ympäristön haasteista tarkempi luettelo
Homsta temuo, eptolik ham fapasi, kölleiva lakpiirte.	Climate change, greenhouse gas emissions, global warming.	Ilmastonmuutos, kasvihuonekaasupäästöt, maailmanlaajuinen lämpeneminen.
Hom autahnilkmoote, taunsi hom, farauttuutte.	Air pollution, urban air, long-distance transport.	Ilman saastuminen, kaupunkien ilma, kaukokulkeutuminen.
MoOtre leiyl nitpiirte, alhom larau moOtre a tua katkemdava ripsähik-aapjösi (ripsähik aapjösi li moO; ripsähik oo ejva taj alnulva sähva ik of moik, säh oo electricity mu eng, proton oo pirsähik, neutron oo ejjesähik).	Ozone depletion, ground-level ozone and other photochemical oxidants (electron acceptors like oxygen, electron is negative or under zero electrically part of atom, electricity is säh in Vosa, proton is plus electric, neutron is electrically uncharged).	Otsonikerroksen oheneminen, alailmakehän otsoni ja muut valokemialliset hapettimet (elektronin vastaanottajia, kuten happi; elektroni on negatiivinen tai alle nollan oleva atomin osa, sähkö on säh Vosaksi, protoni on plus-sähköinen, neutroni on sähköisesti varaukseton).
Sivamlosi autahnilkmoote, pirieepte, jätvamsi ofpö, oilmo ahnilkmosi, kaumojät.	Water pollution, eutrophication, wastewater management, oil pollution, plastic waste.	Vesistöjen saastuminen, rehevöityminen, jätevesien hallinta, öljysaasteet, muovijäte.
Klinva, suitva vam aliprivao a autahnilkmoote. Vamyvsi a itof ys tu raulo.	Scarcity and pollution of clean, fresh water. Dams and their impact on the environment.	Puhtaan, makean veden niukkuus ja saastuminen. Padot ja niiden vaikutus ympäristöön.
Almol autahnilkmoote, mol teo, taun eori leituute, lodri.	Soil pollution, land use, urban sprawl, load.	Maaperän saastuminen, maankäyttö, kaupunkiasutuksen leviäminen, kuormitus.
Pul kayyrte, vamlypulsi kayyrte, eloejouplomuo,  pulsi vao autahvopiirte	Deforestation, rainforest loss, desertification, forest degradation.	Metsäkato, sademetsien kato, aavikoituminen, metsien laadun huononeminen.
Biolo sikauvao kayyrte, vaiksi, koösi  gaa ylylrili til ut tuasi.	Loss of biodiversity, species that take up too much space from others.	Luonnon monimuotoisuuden katoaminen, lajit jotka vievät liiaksi tilan muilta.
Pipiiren moCtuvedeka, ylhyyjte, ylrili toriipte, bioloressi aföönte.	Increased carbon footprint, overpopulation, over-consumption, depletion of natural resources.	Suurentunut hiilijalanjälki, ylikansoitus, liika kuluttaminen, luonnonvarojen ehtyminen.
Balrostasi a tolövao jätsi, torauuejva jät, nilkösi a jätleilosi.	Household and industrial waste, non - recyclable waste, rubbish and landfills.	Kotitalouksien ja teollisuuden jätteet, kierrättämätön jäte, roskat ja kaatopaikat.
Ögvova dev lioova oteof iprivao, stirvao.	Lack of sustainable development, poverty.	Kestävän kehityksen mukaisen toiminnan vähyys, köyhyys.
Vilrosta ahnilkmosi, tolöva vilrosta, emturvao, almol autriipte a autahvopiirte.	Agricultural pollution, industrial agriculture, food security, soil erosion and degradation.	Maatalouden saasteet, teollinen maatalous, ruokaturvallisuus, maaperän eroosio ja huononeminen.
Ylfiiste, ylpulpeaapte, vamdimlo leilosi obrisksi.	Overfishing, overhunting, coastal threats.	Ylikalastaminen, ylimetsästys, rannikkoalueiden uhat.
Toksmosi, termojätsi tu biolo, almol, sivamlo, vam sipe, fis eönsi, bioautkaapte , biopopiirte. Kemmosi risksi intuasi moHsyanidmo, moSmoH, moNOis, risinmo, evmoPkusva  voögyyvtemosi, formaldehydmo, asbestmo, bentsenmo, moBe, moClmoFmoCHsi, syanidmo, DDT, ingländevva cuyvsi, homrekmosi, voögyyvtemosi, moCHsi, perkloratmo, auteoova evva ejklinvao, PBB-vimosi, PBDE-vimosi, toksva hevmetsi, moAS, moHg, moPb, PCB, dioksinmo, siringva rofiemva moCHsi, katiikte-siteva autahnilkmoote, tuhoomva evva vimosi.	Toxins, pharmaceutical waste to nature, soil, water, aquatic life, fish deaths, Bioaccumulation, biomagnification. Chemical risks e.g. hydrogen cyanide, hydrogen sulfide, nitrogen dioxide, ricin, organophosphate pesticides, formaldehyde, asbestos, benzene, beryllium, chlorofluorocarbons, cyanide, DDT, endocrine disruptors, explosives, pesticides, hydrocarbons, PBS, perchlorate, permanent compounds, toxic heavy metals, arsenic, mercury, lead, PCBs, dioxin, polycyclic aromatic hydrocarbons, radioactive contamination, volatile organic compounds.	Myrkyt, lääkejätteet luontoon, maaperään, vesistöön, vesieliöstöön, kalakuolemat, biokertyminen, biomagnifikaatio. Kemikaaliriskit mm. vetysyanidi, rikkivety, typpidioksidi, risiini, organofosfaattiset torjunta-aineet, formaldehydi, asbesti, bentseeni, beryllium, kloorifluorihiilivedyt, syanidi, DDT, endokriiniset häiriöt, räjähteet, torjunta-aineet, hiilivedyt,  perkloraatti, pysyvät orgaaniset epäpuhtaudet, PBB-yhdisteet, PBDE-yhdisteet, myrkylliset raskasmetallit, arsenikki, elohopea, lyijy, PCB,  dioksiini, polysykliset aromaattiset hiilivedyt, radioaktiivinen kontaminaatio, haihtuvat orgaaniset yhdisteet.
Momaplo ote syyenva fapasi, kammoC tolövao raulo yssi.	Emissions from mining, environmental impact of the coal industry.	Kaivostoiminnan aiheuttamat päästöt, kivihiiliteollisuuden ympäristövaikutukset.
Hapmo vamlysi, authapmuute a sivamlosiof a almolof.	Acid rain, acidification of both water bodies and soil.	Happosateet, happamoituminen sekä vesistöjen että maaperän.
Gen sitemuute, biodäva ahnilkmosi, gusik ahnilkmosi.	Genetic modification, biological contaminants, nanopollutants.	Geenimuuntelu, biologiset saasteet, nanosaasteet.
Obriskalva vaiksi kayyrte, ekolijärsi häävte a autikreekte.	Extinction of endangered species, destruction and fragmentation of ecosystems.	Uhanalaisten lajien katoaminen, ekosysteemien hävitys ja pirstoituminen.
Terögrosi, kat- a hö-ögrosi.	Health hazards, light and sound pollution.	Terveyshaitat, valo- ja äänisaasteet.
Biolo kirekstasi, pikassi.	Natural disasters, major accidents.	Luonnonkatastrofit, suuronnettomuudet.
Ydinkassi, -sipvosi a –ahnilkmosi, sipsi.	Nuclear accidents, weapons and pollution, wars.	Ydinonnettomuudet, -aseet ja -saasteet, sodat.

