"Vosa";"VosaParts";"Finnish";"English";"SL"
"1069 metrsi";"1069 metr-si";"maili";"mile";"S"
"1069 metrsi";"1069 metr-si";"virsta";"verst";"S"
"1069 metrsi poul";"1069 metr-si poul";"virstanpylväs";"landmark";"S"
"1069 metrsi poul";"1069 metr-si poul";"virstanpylväs";"milepost";"S"
"1069 metrsi poul";"1069 metr-si poul";"virstanpylväs";"milestone";"S"
"a";"a";"ja";"and";"K"
"a a o";"a a o";"a ja o";"a and o";"S"
"a aj ej";"a aj ej";"enkä";"and I do not";"V"
"a aj ej";"a aj ej";"enkä";"and I don't";"V"
"a aj ej";"a aj ej";"ja minä en";"and I do not";"V"
"a ali";"a a-li";"sekä";"and also";"K"
"a ej";"a ej";"eikä";"and not";"K"
"a ej";"a ej";"eikä";"neither";"K"
"a ej";"a ej";"eikä";"nor";"K"
"a ej ja";"a ej ja";"äläkä";"and don't";"V"
"a häsi ej";"a hä-si ej";"eivätkä";"and neither";"V"
"a häsi ej";"a hä-si ej";"eivätkä";"and they do not";"V"
"a häsi ej";"a hä-si ej";"eivätkä";"and they neither";"V"
"a häsi ej ali";"a hä-si ej a-li";"eivätkä he myöskään";"and they neither";"V"
"a itli depirna";"a it-li de-pir-na";"ja niin edelleen";"and so on";"K"
"aaf";"aaf";"saada";"acquire";"V"
"aaf";"aaf";"saada";"gain";"V"
"aaf";"aaf";"saada";"get";"V"
"aaf";"aaf";"saada";"obtain";"V"
"aaf";"aaf";"saada";"receive";"V"
"aaf ipenda";"aaf ip-en-da";"saada vihi";"get wind of something";"V"
"aaf leilo";"aaf lei-lo";"saada jalansijaa";"gain ground";"V"
"aaf mu arva";"aaf mu ar-va";"saada vihaiseksi";"make angry";"A"
"aaf mu lonro";"aaf mu lon-ro";"saada lainaksi";"get as loan";"S"
"aaf ofuur";"aaf of-uur";"saada luopumaan";"dissuade";"V"
"aaf retu";"aaf re-tu";"saada takaisin";"regain";"V"
"aaf ru";"aaf ru";"saada kiinni";"catch";"V"
"aaf soklirva";"aaf sok-lir-va";"päästä selville";"find out";"A"
"aaf tee";"aaf tee";"saada tekemään";"make to do";"V"
"aaf tu ofpö";"aaf tu of-pö";"saada hallintaan";"get under control";"S"
"aaf tu pocujär";"aaf tu po-cu-jär";"saada kuriin";"discipline";"V"
"aaf tu ruapvo";"aaf tu ru-ap-vo";"saada ansaan";"ensnare";"S"
"aaf tu ruapvo";"aaf tu ru-ap-vo";"saada ansaan";"entrap";"S"
"aafen";"aaf-en";"saaneet";"gotten";"V"
"aafen";"aaf-en";"saaneet";"received";"V"
"aafen";"aaf-en";"saatu";"gained";"V"
"aafen";"aaf-en";"saatu";"gotten";"V"
"aafen";"aaf-en";"saatu";"obtained";"V"
"aafen";"aaf-en";"saatu";"received";"V"
"aafen";"aaf-en";"sai";"got";"V"
"aafen ru";"aaf-en ru";"sai kiinni";"caught";"V"
"aafjo";"aaf-jo";"saaja";"getter";"S"
"aafjo";"aaf-jo";"saaja";"receiver";"S"
"aafjo";"aaf-jo";"saaja";"recipient";"S"
"aafte";"aaf-te";"saaminen";"claim";"S"
"aafte";"aaf-te";"saaminen";"gaining";"S"
"aafte";"aaf-te";"saaminen";"getting";"S"
"aafte";"aaf-te";"saaminen";"obtaining";"S"
"aafte";"aaf-te";"saaminen";"obtainment";"S"
"aag";"aag";"tuoda";"bring";"V"
"aag ja vi ja";"aag ja vi ja";"tuo mukanasi";"bring with you";"V"
"aag kaedle";"aag ka-ed-le";"tuoda esiin";"bring out";"V"
