English150Char	Finnish150Char	VosaTevos150Char
Here are about 8000 sentences from various webpages from Ekovisterlo https://ekovisterlo.blogspot.com/	Tässä on noin 8000 lausetta eri nettisivulta Ekovisterlosta https://ekovisterlo.blogspot.com/	Täin oo sujli 8000 lusasi from erva vinetsidsi ut Ekovisterlo https://ekovisterlo.blogspot.com/
Vosa by topics and basic clauses over 3700 lines in english	Vosaa aiheittain ja peruslauseita yli 3700 riviä suomeksi	Vosa vy obsosi a besva lusasi ylri 3700 (tredis sevces) leijärsi mu vosa
AT FIRST	ALUKSI	NÖMU
You can first read through Vosa's shortish grammar.	Voit lukea ensin Vosan lyhyehkön kieliopin läpi.	Ja voo riik isvana mejulva vosdav inli.
The translations are not always word-for-word, but rather strive for natural expressions in each language.	Käännökset eivät ole aina sanasta sanaan käännöksiä, vaan niissä on pyritty luonteviin ilmaisuihin kussakin kielessä.	Vosmuosi ej oo kina ut sa tu sa vosmuosi, mut in itsi oota tutraaen mu biocuova kautsasi in obki vos.
They have been translated using a machine translator.	Niissä on käytetty apuna konekääntäjää.	Vosmuuvö oota teooen in itsi na vyo.
GREETINGS	TERVEHDYKSIÄ	MOJSASI
Yes / No	Kyllä / Ei	Je / ej
Good morning!	Hyvää huomenta!	Hava entan!
Good day!	Hyvää päivää!	Hava tan!
Good evening!	Hyvää iltaa!	Hava ennat!
Good night!	Hyvää yötä!	Hava nat!
Goodbye!	Näkemiin!	Vokaata!
You're welcome!	Olkaa hyvä!	Oo ja hava!
Thank you!	Kiitos!	Haforsa!
No problem.	Eipä kestä.	Ej ögvoo!
Sorry!	Anteeksi!	Ahhafali!
This is Matti.	Tämä on Matti.	Tä oo Matti.
This is Maija.	Tämä on Maija.	Tä oo Maija.
I am Veikko.	Olen Veikko.	Aj oo Veikko.
Nice to meet you.	Hauska tutustua.	Hehobva vikadaa.
How are you?	Mitä kuuluu?	Ko obhöö?
Good thanks.	Kiitos hyvää.	Haforsa hava.
What about you?	Entäpä teille?	A ja?
DRESSING	PUKEUTUMINEN	AUTVAATTE
How do you dress?	Miten teillä on tapana pukeutua?	Koli jasi oof lio autvaat?
It is good to put on a sweater and a skirt or trousers for a journey.	Matkalle on hyvä pukea pusero ja hame tai housut.	Le rotuo oo hava vaat blusvat a skötvat taj harvat.
How much fabric is needed for a suit?	Paljonko kangasta tarvitaan pukuun?	Kori vatmo niidta for rovat?
What fabric is this made of?	Mistä kankaasta tämä on?	Ko-ob vatmo tä oo?
She always dresses in fashion.	Hän pukeutuu aina muodin mukaisesti.	Hä autvaat kina vili tyl.
He wore a long suit.	Hänellä oli pitkä puku.	Hä oofen luva rovat.
I don't have a walking suit.	Minulla ei ole kävelypukua.	Aj ej oof vetuo rovat.
You have a beautiful black suit.	Teillä on kaunis musta puku.	Jasi oof kava tivva rovat.
That suit fits you well.	Sinulle sopii hyvin tuo puku.	For ja soop hali ät rovat.
Where can I iron a suit?	Missä voi silittää puvun?	Koin voo vatsiil rovat?
Can I take the suit jacket off?	Voiko ottaa puvun takin pois?	Vooko aap rovat ylluvat yr?
Can I take off my jacket?	Saanko riisua takin?	Aafko aj taav ylluvat?
Do I need to put on the raincoat?	Pitääkö panna sadetakki päälle?	Piitko paa vamly ylluvat le?
It's better not put it, the weather is beautiful.	Ei kannata pistää, sää on kaunis.	Ej rogöö paa, nista oo kava.
Where have you left your raincoat?	Minne olette jättänyt sadetakkinne?	Kotu jasi oo tejääen jasiof vamly ylluvat?
You can leave the jacket in the cloakroom.	Voit jättää takin vaatesäilöön.	Ja voo tejää ylluvat intu vatpalo.
Don't forget to take a swimsuit to the beach!	Älä unohda ottaa rannalle uimapukua!	Ej öös ja aap le vamdim vuvat!
You have a new hat, good luck!	Teillä on uusi hattu, onneksi olkoon!	Jasi oof novva hät, sakmu oo it!
I accidentally took the wrong cap.	Otin vahingossa väärän lakin.	Aj aapen in tekas tarva iphät.
Take the cap off!	Ottakaa lakki päästä!	Aap jasi iphät ur pä!
It's windy outside, put on a scarf!	Ulkona tuulee, pistä huivi päähän!	Ni houu, paa ja päleivat le pä!
This scarf is pure wool.	Tämä kaulahuivi on puhdasta villaa.	Tä nekvevat oo klinva vulmo.
You haven't lost your gloves at all?	Ette suinkaan ole hukannut käsineitänne?	Jasi ejejli oo keseejen jasiof pavetosi?
He has a ring in his finger.	Hänellä on sormessaan sormus.	Hä oof rauli pavetap tapring.
I bought sharp-pointed shoes.	Ostin teräväkärkiset kengät.	Aj ääfen kutönpikva tuvetosi.
Where can I polish my shoes?	Missä voi kiillottaa kengät?	Koin voo telakliir tuvetosi?
Boots on the foot must not enter.	Saappaat jalassa ei saa mennä sisään.	Lutuvetosi la tuvesi ej aaf intuu.
You are already running without socks.	Te kuljette jo ilman sukkia.	Jasi tuut ripnen ejli soksi.
LOOKS	ULKONÄKÖ	NILIKA
They look like each other.	He ovat toistensa näköisiä.	Häsi oo likava obki tuasi.
What does he look like?	Minkä näköinen hän on?	Ko likava hä oo?
She loves to wear dark sunglasses.	Hän pitää mielellään tummia aurinkolaseja.	Hä paoo hamili takkäva aurloglasi.
You have something on your nose.	Sinulla on jotain nenälläsi.	Ja oof ö la jaof nes.
When I come from the south, I am quite brown.	Kun tulen etelästä, olen aivan ruskea.	Na ja uut ut ron, aj oo fulli brauva.
