VosaTevos	Finnnish	English
1069 metrsi	virsta; maili	mile; verst
1069 metrsi poul	virstanpylväs	landmark; milepost; milestone
a	ja	and
a a o	a ja o	a and o
a aj ej	enkä; ja minä en	and I don't; and I do not
a ali	sekä	and also
a ej	eikä	and not; neither; nor
a ej ja	äläkä	and don't
a häsi ej	eivätkä	and they do not; and they neither; and neither
a häsi ej ali	eivätkä he myöskään	and they neither
a itli depirna	ja niin edelleen	and so on
aaf	saada	acquire; gain; get; obtain; receive
aaf ipenda	saada vihi	get wind of something
aaf leilo	saada jalansijaa	gain ground
aaf mu arva	saada vihaiseksi	make angry
aaf mu lonro	saada lainaksi	get as loan
aaf ofuur	saada luopumaan	dissuade
aaf retu	saada takaisin	regain
aaf ru	saada kiinni	catch
aaf soklirva	päästä selville	find out
aaf tee	saada tekemään	make to do
aaf tu ofpö	saada hallintaan	get under control
aaf tu pocujär	saada kuriin	discipline
aaf tu ruapvo	saada ansaan	ensnare; entrap
aafen	saaneet; saatu; sai	gained; received; obtained; got; gotten
aafen ru	sai kiinni	caught
aafjo	saaja	getter; receiver; recipient
aafte	saaminen	gaining; obtainment; claim; getting; obtaining
aag	tuoda	bring
aag ja vi ja	tuo mukanasi	bring with you
aag kaedle	tuoda esiin; tuoda esille	bring out
aagen	haettu; toi; toivat; tuotu	brought; conveyed; fetched; imported; taken; took; carried
aagjo	tuoja	bringer
aagli	tuoden	bringing
aagte	tuominen	bringing
aagva	tuova	bringing
aalt	vuorotella	alternate; take turns
aaltte	vuorottelu	alternation; rotation
aaltva	vuorotteleva	alternating
aap	ottaa	take up; get hold of; take; take on
aap for tee	ottaa tehdäkseen	take to do
aap for teo	ottaa käyttöön	enable; start using
aap greli	ottaa vakavasti	take someone seriously
aap intu obvoka	ottaa huomioon	take into account
aap ja	ota	take
aap ja, oo ja hava	ota, ole hyvä	please take
aap ki yr	ottaa kaikki irti	make the most of
aap mu edka	ottaa esimerkiksi	take for example
aap mu ob	ottaa kohteeksi	take as a target
aap mu ve	ottaa jäseneksi	affiliate
aap no	ottaa aikaa	take time
aap obtarkgreli	ottaa vaarin	heed
aap risk	ottaa riski	take a risk
aap ru	ottaa kiinni	catch up; seize; snatch
aap tuoväl	ottaa askel	take a step
aap yr	ottaa pois	take away; take off
aap yr el	ottaa pois päältä	take off
aapen	otettu; ottanut; otti	taken; took
aapen rotut	otti kyydin	took a ride
aapenta	otettiin	was taken
aapjo	ottaja	taker
aapli	ottaen	taking
aapli tu obtark	ottaen huomioon	considering
aapta	otetaan	let's take; will be taken
aapte	ottaminen	uptake
aapva	ottava	taking
aar	vihata	hate; detest
aarjo	vihaaja	hater
aark	arastaa	shy
Abyssinlo	Abessinia	Abyssinia
acethapmo	etikkahappo	acetic acid
acetmo	etikka	acetic; vinegar
ADC	ATK	ADP; computing
adenovir	adenovirus	adenovirus
adrenalinmo	adrenaliini	adrenaline
Adria fovamlo	Adrianmeri	Adriatic Sea
af	saanti	access; intake
afbauu	pokata	make a bow
afganjo	afgaani	Afghan
Afganlo	Afganistan	Afghanistan
afmä	saamamies	creditor
afpoluu	kurkottaa; kurottaa	crane; reach; stretch (out for)
afpoluute	kurkottaminen; kurkotus	reaching out
