English	Finnish	Vosa
a great deal	mahdottomasti	ejvoli
A trait to be developed	Kehitettävä ominaisuus	Deevtava ofvao
absentmindedly	hajamielisesti	silomili
absurdist	absurdisti	visejli
accidence	taivutusoppi	sakaudav
acoustics	akustiikka	tilhöda
Active everyday life	Aktiivinen arki	Siteva tetan
Active organizational activity	Aktiivinen järjestötoiminta	Siteva järsio ote
actuarial science	vakuutusmatematiikka	roturrisoda
administrative science	hallinto-oppi	pötedav
administrative science	hallintotiede	pötedä
admiringly	ihailevasti	fainkaali
advantageously	vieraanvoittoisesti	vifarvinli
aerobiology	aerobiologia	hombiodä
aerodynamics	aerodynamiikka	homuopoda
aeronautical engineering	lentokonetekniikka	huvötekda
aeronautical engineering	lentotekniikka	huotekda
aesthetics	estetiikka	kavkada
affectionately	herttaisesti	ravoli
against the rules	laittomasti	pösoejli
Aging parent	Ikääntyvä vanhempi	Jänriiva unpir
agricultural chemistry	maanviljelyskemia	molviilkemda
agricultural economics	maatalousekonomia	vilrostada
agricultural physics	maanviljelysfysiikka	molviilfysda
agricultural science	maanviljelytiede	molvildä
agricultural science	maataloustiede	vilrostadä
agricultural technology	maatalousteknologia	vilrostatekdä
agronomy	agronomia	divilda
airtightly	ilmanpitävästi	homtihruli
alchemy	alkemia	nökemda
Algorithm-induced-impact	Algoritmin tuoma vaikutus	Proglioik aagva ys
amazingly	huikeasti	ylpili
amusingly	hupaisasti	hehlili
analog technology	analogiatekniikka	lireobtekda
analytics	analytiikka	rorikada
anatomy	anatomia	vevda
andrology	andrologia	märetda
andrology	miestentautioppi	märetdav
anesthesiology	anestesiologia	tenukdä
animal psychology	eläinpsykologia	pemiterdä
Animal rights	Eläinten oikeudet	Pesi ratafsi
animal science	kotieläintiede	balpedä
animalistically	eläimellisesti	pelili
anthropology	antropologia	mämda
Appropriate rental level	Sopiva vuokrataso	Soopva lonfäfrovtal
archeology	arkeologia	unobdä
archeology	muinaistiede	enendä
argumentative skills	väittelytaito	lijesaalivote
arithmetic	aritmetiikka	risodav
arithmetic	laskuoppi	risodav
Artificial intelligence	challenge	Tekoälyn tuoma haaste
Artistic photography	Taiteellinen valokuvaus	Kavva katkatoap
artistic talent	kuvaamataito	katolivote
as a matter of routine	automaattisesti	autteli
asepsis	aseptiikka	ejfosikpeda
Assyriology	assyriologia	assyrdä
astronautics	astronautiikka	kitilhuuda
astronomy	astronomia	kitildä
astronomy	tähtitiede	klirlodä
astrophysics	astrofysiikka	kitilfysda
at full length	tyhjentävästi	luufli
at length	pitkästi	luli
atomic physics	atomifysiikka	moikfysda
atomic theory	atomioppi	moikdav
atonement	sovitusoppi	tehasopdav
audio editing technology	äänenmuokkaustekniikka	pökaumuutekda
Authentic lifestyle	Autenttinen elämänmeno	Rorilva eotuo
authoritarianally	autoritäärisesti	autgöpöli
automatism	automatiikka	autteda
Autonomous mobility	Autonominen liikkuminen	Autpölova uute
aviation medicine	ilmailulääketiede	huutedä
bacteriology	bakteriologia	baktda
badly	rumasti	akli
balancedly	tasapainoisesti	talhevrili
ballistics	ballistiikka	obhudä
basic doctrine	perusoppi	besdav
Beautiful art exhibition	Kaunis taidenäyttely	Kava kav tekahäp
Beautiful houseplant	Kaunis huonekasvi	Kava tolikep
Beautiful memory	Kaunis muisto	Kava söto
Beautiful mountain landscape	Kaunis vuoristomaisema	Kava sipimöyl bioka
Beautiful season	Kaunis vuodenaika	Kava jänno
behavioral science	käyttäytymistiede	cuodä
Beloved pet	Rakas lemmikkieläin	Rava rape
Beneficial health application	Hyödyllinen terveyssovellus	Görova terdaforsopto
bias	puolueellisesti	gösioli
biblical exegesis	raamatunselitysoppi	uskirtoklirsadav
big	isosti	pili
Big cleaning day	Suuri siivouspäivä	Piva lokliintan
Big cultural difference	Suuri kulttuuriero	Piva lie
Big dream	Suuri unelma	Piva nukob
Big Family celebration	Suuri sukujuhla	Piva cejrono
Big reconciliation	Suuri sovinto	Piva hasop
bindingly	sitovasti	virupaali
biochemistry	biokemia	biokemda
bioelectronics	bioelektroniikka	bioipsähda
bioethics	bioetiikka	biorattarda
biogeography	eliömaantiede	eököldä
biology	biologia	biodä
biomedicine	biolääketiede	bioterdä
biophysics	biofysiikka	biofysda
biorhythmics	biorytmiikka	biorytmda
biotechnology	biotekniikka	biotekda
botany	botaniikka	epda
botany	kasvioppi	epdav
botany	kasvitiede	epdä
bravely	uljaasti	kakarli
bravely	urhoollisesti	hakarli
Brewed green tea	Haudutettu vihreä tee	Lakvaamen grinva teavem
bright	kirkkaasti	klirli
Bright future	Valoisa tulevaisuus	Katva neno
Bright spring	Valoisa kevät	Katva enlakno
Brisk outdoor activity	Reipas ulkoilu	Nophateva sinituo
Brisk walking	Reipas kävelylenkki	Nophateva vetuoturou
briskly	vauhdikkaasti	nopteli
brush technique	sivellintekniikka	heörpavotekda
building acoustics	rakennusakustiikka	tolhöda
business administration	liiketaloustiede	fäfrostadä
business studies	liikeoppi	uodav
Busy local traffic	Vilkas paikallisliikenne	Sinopteva lova tusta
Busy weekend	Kiireinen viikonloppu	Iprinova gunön
by a hairbreadth	täpärästi	rafkasli
by agreement	sovinnaisesti	soplioli
by fits and starts	epäsäännöllisesti	ejregli
by way of exception	poikkeuksellisesti	ejreli
captivatingly	valloittavasti	pöloaapli
cardiology	kardiologia	hemoevda
cardiology	sydäntautioppi	hemoevretdav
Careful travel preparation	Huolellinen matkavalmistelu	Juskeeva rotuo enforteete
carefully	visusti	tarkjusli
cartography	karttaoppi	kalotodav
Casual running	Rento juoksulenkki	Pomakva tyrou
casually	rennosti	pomakli
Celebratory birthday cake	Juhlava syntymäpäiväkakku	Ronova nöetan kakem
celestial mechanics	taivaanmekaniikka	yllomekanda
cell biology	solubiologia	solbiodä
cell biology	soluoppi	soldav
Challenge brought by loneliness	Yksinäisyyden tuoma haaste	Intu isvivao aagva has
Challenge related to shift work	Vuorotyöhön liittyvä haaste	Intu altnotö rutuuva has
Challenging collecting hobby	Haastava keräilyharrastus	Haasva kaapte mite
Challenging entrance exam	Haastava pääsykoe	Haasva  aftuovotra
Challenging hiking terrain	Haastava vaellusmaasto	Haasva tutuo simol
Challenging job interview	Haastava työhaastattelu	Haasva tösidakoote
Challenging lack of trust	Haastava luottamuspula	Haasva uscu nidsta
Challenging language barrier	Haastava kielimuuri	Haasva vos pivol
Challenging living abroad	Haastava ulkomailla asuminen	Haasva la nihylsi eloote
Challenging parenting	Haastava vanhemmuus	Haasva mamsivao
Challenging singing technique	Haastava laulutekniikka	Haasva hösa tekda
Challenging university degree	Haastava korkeakoulututkinto	Haasva yldavlötradav
Challenging work task	Haastava työtehtävä	Haasva töteob
Changing gallery exhibition	Vaihtuva gallerianäyttely	Ermuuva kavtolik takahäp
Cheap backpacking	Halpa reppumatka	Lyrovva bäkvebäg rotuo
Cheap everyday food	Halpa arkiruoka	Lyrovva tetanem
Cheap flight offer	Halpa lentotarjous	Lyrovva huo oftuka
Cheap hobby	Halpa harrastus	Lyrovva mite
cheerfully	lupsakkaasti	haetfriculi
chemistry	kemia	kemda
child psychology	lastenpsykologia	ipmämmiterdä
Childhood dream profession	Lapsuuden unelma-ammatti	Ipmämno nukob votö
Childhood-home	Lapsuuden kotitalo	Ipmämno baltol
Children's hobby activities	Lasten harrastustoiminta	Ipmämsi miteoteete
chord	sointuoppi	cöyhdav
Christianity	kristinoppi	kristdav
Christology	kristologia	kristhojodav
Chronic illness	Krooninen sairaus	Lunova ret
chronobiology	kronobiologia	nobiodä
chronology	kronologia	norisoda
civics	kansalaistaito	hyjjolivote
civil engineering	maarakennusmekaniikka	moltooltemekanda
civilizedly	sivistyneesti	hadapiirli
Classic board game	Klassinen lautapeli	Enpisva kutpuple
cleverly	neuvokkaasti	visli
cleverly	sukkelasti	nopvisteeli
climate science	ilmastotiede	homstadä
climatology	ilmasto-oppi	homstadav
climatology	klimatologia	homstadä
Close grocery store	Läheinen ruokakauppa	Rafliva emfäflo
Close relative	Läheinen sukulainen	Rafliva cejjo
Close teamwork	Tiivis tiimityö	Tihruva visiotö
Close-knit family community	Tiivis perheyhteisö	Tihruva bajisvisio
closely	tarkasti	tarkli
clumsily	tökerösti	ahvoteli
