Vosa	VosaParts	Finsi	Engsi
a	a	ja	and
o	o	olio	being; creature; object
ö	ö	eräs; jokin; jotain; jotakin; muuan	an; something; someone; somebody; anything; a; one
af	af	saanti	access; intake
ai	ai	aijai	aye
aj	aj	minä; mä; minua; minut	ego; I; me
al	al	ali-; alla	below; underneath; underlying; under-; under; beneath; hereunder
am	am	maammo; mamma; äiti	mommy; mother; momma; mom; mammy; mama; mam; mum
ap	ap	otto	taking; intake
ar	ar	viha	anger; hate; hatred; hostility; ire; wrath
cu	cu	suhteen	in respect to; regarding; with regard to
da	da	data; tieto	datum; data
de	de	jäljessä	lagging; behind
du	du	kahta; kaksi	number two; two
dä	dä	tiede	science
ed	ed	etu-; esi-	fore-; front; pre-
ee	ee	elää	live; subsist
eg	eg	muna	egg; ovule
eh	eh	oh	oh
ej	ej	eivät; ei	do not; does not; nay; no; non; nope; not
el	el	päältä	from on
em	em	ruoka	food; nosh; nourishment
en	en	ennen; vaille kelloajasta	ere; formerly; previously; prior; sooner; to (clock); before
eo	e-o	elo; elämä	aliveness; life
ep	ep	kasvi	plant
er	er	eri	separate; several; particular; diverse; distinct; different; varying
et	et	lepo	repose; rest
EU	EU	EU	EU
ev	ev	elin	organ; body
eö	e-ö	organismi; eliö; elollinen olento; elävä olento	living being; organism
fi	fi	tunne; fiilis	feeling; sentiment; vibes; emotion; sense; sensation
gö	gö	eteen; pro; puolesta	for; on behalf of; pro
he	he	hymy	grin; grinning; smile; smiling
ho	ho	henki	life; spirit
hä	hä	hän; hänet; häntä	he; her; him; she
hö	hö	ääni; ääni-	audio; voice; noise; sound
if	if	jos	if; provided that; whether
ik	ik	osa	share; portion; moiety; part
il	il	kuin	than
in	in	sisällä; sisässä; -ssa	in; inside; within; contained; indoors; inboard
ip	ip	pienois-	mini; miniature
is	is	yksi	an; number one; one; single
it	it	se; sitä	it; the
ja	ja	sä; sinua; sinut; sinä	ye; you; thee; thou
je	je	kyllä; juu; joo; jaa	jah; yoo; yes; yep; yea; aye; yeah
jö	jö	ei persoonallinen tekijä	non-personal factor
ki	ki	joka; jokainen; kaikki	all; all of; each; every; everybody; everyone; everything
ko	ko	mikä; mitä; joka	that; what; which
ks	ks	x	x
kv	kv	q	q
kä	kä	väri	color; colour
la	la	päällä; yllään; yllä	on; wearing; topped; upon
le	le	päälle	onto; over; on to; on; upon
li	li	lailla; kuin; kuten	as; as well as; like; like that; such as
lo	lo	mesta; paikka	spot; position; location; place
lö	lö	instituutio; laitos	institution; Institute; facility; establishment; installation
ma	ma	taatto; isä; abba; isi	abba; dad; daddy; father; padre; papa; sire
mi	mi	mieli	mind
mo	mo	aine; materia	matter; substance; material
mu	mu	-ksi; joksikin	become something preposition; translate in preposition
mä	mä	mies	husband; male person; man
na	na	kun; aikana; klo	whilst; amid; at; during; when
ne	ne	jälkeen; kuluttua	after
ni	ni	ulkona	outside; outdoors; alfresco; out in the open; outdoor
no	no	aika	time; term; stretch; stint; age; period
nö	nö	alku; alku-	onset; starting time; start; beginning; outset; initial; commencement; inception; kickoff
of	of	omistusliite; omistusprepositio	possessive preposition; possessive suffix; of
oo	oo	olen; ovat; olla; on	are; be; is; am
os	os	esine	artifact; thing; object; item; article; curiosity
pa	pa	pano	deposit; insertion; putting
pe	pe	eläin; elukka	beast; animal
po	po	voima	force; power; strength
pu	pu	puu	tree
pä	pä	pää	head; main
pö	pö	valta	authority; dominion; might; power; predominance
ra	ra	rakkaus	love
re	re	sama	ditto; same
ri	ri	määrä	amount; number; quantity
ro	ro	arvo	precio; value; valuation; rank; merit; importance; cost; worth; monetary value
ru	ru	kiinni	adhered; sticking; stuck; fastened; adhering; adhere; catching; clutched
Rv	Rv	Oy	Ltd
sa	sa	sana	word
si	si	monet; useita; usea; moni; monta	various; multiple; multi; many
so	so	asia	errand; question; point; matter; job; thing; concern; case; business; affair; issue; fact
su	su	epäilys	doubt; misgiving; suspicion
sy	sy	syy	cause; reason; root
sä	sä	huuto	yell; cry; exclamation; scream
sö	sö	muisti	memory; remembrance
te	te	teko	act; creating; deed; doing
to	to	valmiste; tuote	preparation; product
ts	ts	z	z
tu	tu	tykö; luo; luokse	to; unto
tä	tä	tätä; tää; tämä	this
tö	tö	duuni; työ	job; work
uo	uo	liike	motility; motion
up	up	ruoho	grass
ur	ur	irti	loose; unscrewed; unhooked; unfastened; unstuck; off; free; disengaged; disconnected; away; undone; liberate
us	us	usko	belief; creed; faith
ut	ut	luota	from
uu	uu	liikkua	move; go
ve	ve	jäsen	affiliate; limb; member
VH	VH	YK	UN
vi	vi	kanssa; kera; lomassa; muassa; ohessa	withal; along with; with
vo	vo	väline; instrumentti	appliance; vehicle; utensil; tool; means; implement; instrument
vu	vu	w	w
vy	vy	avulla	by
vä	vä	jalo	worthy; noble
vö	vö	kone; laite	machine; apparatus; appliance; device
yl	yl	yli-; ylä-	over-; super; upper
yr	yr	pois	away; off
ys	ys	efekti; vaikutus	influence; action; consequence; effect; impact; impression
yv	yv	este	impediment; obstacle; barrier; hindrance; snag; hurdle
äm	äm	muija; nainen; ämmä	chick; female; female person; lady; woman
är	är	nuoli	shaft; arrow
ät	ät	tuo; tuon	that; that there; yon
öb	öb	jostakin; -sta	about
ög	ög	vastaan	versus; vs.; against
ön	ön	loppu; pää	ending; finish; final stage; end; finis
aaf	aaf	saada	acquire; gain; get; obtain; receive
aag	aag	tuoda	bring
aap	aap	ottaa	take up; get hold of; take; take on
aar	aar	vihata	hate; detest
ADC	ADC	ATK	ADP; computing
aha	aha	ahaa	aha
aho	ah-o	synti	evildoing; trespass; transgression; sin
aht	aht	kahdeksan	eight; number eight
