Vosa	VosaParts	Finsi	Engsi
aid.	aid.	jne.	etc.
ati.	ati.	yms.	etc.
e.k.	e.k.	esim.	e.g.; for ex.
is.	is.	ns.	so called
a	a	ja	and
vohöö ja a	vo-höö ja a	kuulehan	listen; look here
na a	na a	kunhan	as long as
isvana a	is-va-na a	ensinnäkin	firstly; in the first place; first of all
ej isvana a	ej is-va-na a	ensinkään	at all
önna a	ön-na a	viimeinkin	at last; finally
kona a	ko-na a	jolloinkin; milloinka; milloinkin	anytime; when; sometimes; once; sometime
ripna a	rip-na a	pikemminkin	rather
isna a	is-na a	kerrassaan	absolutely
ej nöna a	ej nö-na a	ei alkuunkaan	not at all
tenööta a	te-nöö-ta a	aloitetaanpa	let's begin
ejejje a	ej-ej-je a	tokkopa	I doubt that
itne a	it-ne a	sittenkin	even so; for all that; nevertheless; after all
if a	if a	jospa	if only
na if a	na if a	kunpa	if only
ali a	a-li a	niin ikään	also
tuasaali a	tua-saa-li a	elikkä	so
ejali a	ej-a-li a	saatikka	all the more so
dajeli a	da-je-li a	ilman muuta	of course
riljeli a	ril-je-li a	johan	indeed
tajli a	taj-li a	vaikkakin	albeit; however
sasaaejli a	sa-saa-ej-li a	puhumattakaan	let alone; not to mention
rilli a	ril-li a	todellakin	indeed
varmli a	varm-li a	varmastikin	for sure
mejvarmli a	mej-varm-li a	varmaankin	probably; surely
ej koli a	ej ko-li a	mitenkään	soever
syklirli a	sy-klir-li a	siispä	so
geesli a	gees-li a	arvatenkin	presumably
pitli a	pit-li a	pakostakin	necessarily; perforce
önutli a	ön-ut-li a	lopultakin; viimein	finally; after all; at last
ej ipri a	ej ip-ri a	rahtuakaan; vähääkään	not a little; not a whit
itne ej a	it-ne ej a	sittenkään	even then; then either
aj aafen a	aj aaf-en a	sainpahan; ähäkutti	gotcha; serves you right!
anen a	a-nen a	taasen	again
önnen a	ön-nen a	vihdoinkin	finally
koin a	ko-in a	missäkin	anywhere
duvio a	du-vi-o a	sekä että	as well as the; both and
ejko oo a	ej-ko oo a	eikö olekin	isn't it
kout a	ko-ut a	mistäkin	from anything
kointu a	ko-in-tu a	mihinkin	to what
kotu a	ko-tu a	minnekin	anywhere
itsy a	it-sy a	jotenka	so
daa	daa	tietää	know
aj daa	aj daa	tiedän	I know
Hajo daa	Ha-jo daa	Jumala tietää	God knows
vikadaa	vi-ka-daa	tutustua	familiarize oneself; get to know; familiarize; acquaint
tevikadaa	te-vi-ka-daa	tutustuttaa	acquaint; familiarize; introduce
vokadaa	vo-ka-daa	tunnistaa	identify; recognise; recognize
enöbdaa	en-öb-daa	vaistota	feel instinctively; know by intuition; sense
te-erhiddaa	te-er-hid-daa	mystifioida	mystify
litedaa	li-te-daa	taktikoida	maneuver
vidaa	vi-daa	kommunikoida	communicate
kavodaa	ka-vo-daa	tuntea	know
ensatdaa	en-sat-daa	aavistaa	anticipate; foresee; have a presentiment
siensatdaa	si-en-sat-daa	uumoilla	have a feeling
ideaa	ideaa	ideoida	brainstorm
faa	faa	antaa	endow; yield; let; administer; impart; grant; give; dispense; deal; confer; allow; allocate; allot; distribute
häsi faa	hä-si faa	he antavat	they give
