VosaPart	Vosa	Finnish	English
va	oova	oleva	being
te	te	teko	doing
li	li	kuin	as
o	o	olio	being
si	si	monet	many
jo	teejo	tekijä	doer
vo	vo	väline	means
ka	kava	kaunis	beautiful
ej	ej	ei	not
en	en	ennen	before
lo	lo	paikka	place
tu	tu	luo	to
aut	aut	itse	self
ro	ro	arvo	value
ri	ri	määrä	number
da	da	tieto	data
sa	sa	sana	word
vi	vi	kanssa	with
mo	mo	aine	material
po	po	voima	power
pa	pa	pano	putting
ah	ahva	paha	bad
to	to	tuote	product
pö	pö	valta	power
ob	obso	aihe	topic
ha	hava	hyvä	good
ik	ik	osa	part
yl	yl	ylä-	upper
ip	ip	pienois-	mini
no	no	aika	time
vö	vö	kone	machine
cu	cu	suhteen	regarding
la	la	päällä	on
e	eo	elämä	life
mi	mi	mieli	mind
in	in	sisällä	in
saa	saa	sanoa	tell
rov	rov	raha	money
us	us	usko	faith
ve	ve	jäsen	member
pi	piva	suuri	big
kaa	kaa	katsoa	watch
tee	tee	tehdä	do
lei	leiva	leveä	broad
ev	ev	elin	body
n	jän	vuosi	year
is	is	yksi	an
pe	pe	eläin	animal
tuu	tuu	menee	goes
hö	hö	ääni	sound
piir	piir	kasvaa	increase
er	er	eri	several
ög	ög	vastaan	against
paa	paa	panna	set
oo	oo	ovat	are
of	of	omistusprepositio	of
na	na	kun	when
tö	tö	työ	work
tol	tol	talo	house
vam	vam	vettä	water
so	so	asia	business
em	em	ruoka	food
lu	luva	pitkä	long
sta	sta	tila	state
pir	pir	enemmän	more
al	al	alla	under
ap	ap	otto	taking
ly	lytu	alas	down
ed	ed	etu-	front
ep	ep	kasvi	plant
kir	kir	teksti	text
pä	pä	pää	main
tuo	tuo	meno	going
ret	ret	tauti	disease
rau	rauva	pyöreä	round
re	re	sama	same
ön	ön	pää	end
ut	ut	luota	from
af	af	saanti	access
ba	bal	koti	home
ur	ur	irti	free
du	du	kaksi	two
fi	fi	tunne	sense
for	for	varten	for
l	hyl	maa	country
ru	ru	kiinni	stuck
vat	vat	vaate	cloth
ra	ra	rakkaus	love
u	uu	liikkua	move
fa	faa	antaa	give
kau	kau	muoto	form
muu	muu	tulla joksikin	become
aap	aap	ottaa	take
j	hyj	kansa	people
os	os	esine	item
faa	faa	antaa	let
nö	nö	alku	start
yv	yv	este	barrier
st	hast	parhain	best
ho	ho	henki	life
mä	mä	mies	man
sid	sid	puoli	side
ö	ö	jotain	something
bön	bön	tuli	fire
sip	sip	sota	war
tan	tan	päivä	day
mol	mol	maa	land
pu	pu	puu	tree
s	bas	kymmenen	ten
öb	öb	jostakin	about
lö	lö	laitos	Institute
de	de	jäljessä	behind
voo	voo	voi	can
rek	reek	rikkoa	break
gö	gö	puolesta	for
häp	häp	tilaisuus	event
dav	dav	oppi	learning
kat	kat	valo	light
ne	ne	jälkeen	after
ni	ni	ulkona	outside
vy	vy	avulla	by
aaf	aaf	saada	get
soo	soo	ajatella	think
tal	tal	taso	level
tul	tul	tie	way
ki	ki	kaikki	all
säh	säh	sähkö	electric
ys	ys	vaikutus	action
mu	mu	joksikin	become something preposition
hom	hom	ilma	air
ide	ide	aate	idea
nid	nid	tarve	need
kam	kam	kivi	stone
dir	dir	suunta	direction
too	too	tuottaa	produce
väl	väl	väli	space
ter	ter	terve	hello
ful	ful	täynnä	full
klir	klirva	kirkas	clear
sem	sem	siemen	seed
sif	sif	lintu	bird
ko	ko	mitä	that
vis	vis	järki	sense
dä	dä	tiede	science
kut	kut	leikkaus	cut
jär	jär	järjestys	order
ril	ril	tosi	true
diir	diir	johtaa	conduct
höö	vohöö	kuulla	hear
reek	reek	rikkoa	break
vom	vom	neste	liquid
nen	nen	nyt	now
uu	uu	liikkua	go
fäf	fäf	kauppa	business
nop	nopva	nopea	quick
räj	räj	epäjärjestys	disorder
tar	tarva	väärä	wrong
aj	aj	minä	I
ta	ooota	ollaan	let's be
mid	midro	keskiarvo	average
nov	novva	uusi	new
äm	äm	nainen	woman
heör	heör	karva	hair
bes	beslo	perus	base
mäm	mäm	ihminen	person
tih	tihna	usein	often
vil	vilep	vilja	corn
lim	lim	raja	limit
a	a	ja	and
kä	kä	väri	color
vu	vu	w	w
oup	oup	auki	open
sad	sadli	yhtäkkiä	sudden
ar	ar	viha	hate
hemo	hemo	veri	blood
rat	ratva	oikea	right
tua	tua	toinen	other
mark	mark	merkki	make
hid	dahidva	salainen	secret
it	it	se	the
far	far	kaukana	far
raf	raf	lähellä	near
cuu	cuu	pitää	regard
ke	stake	huolto	support
tra	ögtra	ottelu	match
un	unva	vanha	old
ga	niga	vienti	export
le	le	päälle	on
ong	ong	ongelma	problem
ja	ja	sinä	you
moo	moO	happi	oxygen
yyv	yyv	estää	keep
fis	fis	kala	fish
lyy	lyy	laskea	decrease
papr	papr	paperi	paper
riip	riip	vähentää	reduce
bio	biova	luonnollinen	natural
ros	ros	ilo	pleasure
raa	raa	rakastaa	love
ves	ves	astia	bin
if	if	jos	if
ag	moAg	hopea	silver
nuk	nukob	unelma	dream
aag	aag	tuoda	bring
til	til	tila	space
knit	knit	lanka	thread
met	met	metalli	metal
uut	uut	tulla	come
pik	pik	piikki	spine
sop	visopto	sopimus	agreement
häk	häk	isku	impact
sy	sy	syy	root
pit	pit	pakko	force
tark	tu obtark	huomioon	regard
yys	yys	vaikuttaa	work
torv	torv	torvi	pipe
yyl	yyl	nousta	rise
har	har	haara	branch
loo	loo	sijaitsee	situated
pul	pul	metsä	forest
hu	huvö	lentokone	aircraft
yr	yr	pois	off
öön	öön	loppua	end
iik	iik	jakaa	split
dim	dim	reuna	marginal
gag	gag	kuljetus	transportation
je	je	kyllä	yes
sef	sef	suoja	protection
vos	vos	kieli	language
pip	pipri	koko	size
res	res	vara	reserve
tur	tur	turva	security
uur	uur	irrota	loosen
äng	äng	kulma	corner
dip	tu dipva	syvään	deep
eem	eem	syödä	eat
fä	lonfärov	vuokra	rent
daav	daav	oppia	learn
lak	lakvao	lämpö	heat
kal	kalva	kylmä	cold
kee	kee	huolehtia	see
sup	sup	tuki	support
bol	bol	pallo	ball
di	piditul	valtatie	highway
hev	hevva	raskas	heavy
soop	vosoop	käydä	suit
läk	läkva	kuuma	hot
kva	kva	neljä	four
kuut	kuut	leikata	cut
nilk	nilk	lika	dirt
vem	vem	juoma	drink
vä	vä	jalo	worthy
siv	sivcuova	hullu	nut
dih	tudih	julki	out
fät	fät	läski	fat
cuo	cuo	käytös	behavior
hir	hir	kauhu	threat
kiir	kiir	kirjoittaa	type
noo	ronoo	juhlia	celebration
sut	sutrae	luoti	slug
hon	hon	kunnia	credit
varm	varmva	varma	assured
net	net	verkko	web
bod	bod	vartalo	body
risk	risk	riski	risk
heh	heh	heh	ha
rip	rip	vähemmän	less
sat	sat	sattuma	chance
mit	mit	liha	meat
koo	koo	kysyä	ask
lum	lum	lumi	snow
böön	böön	palaa	burn
höv	höv	soitin	instrument
bit	bitvesi	hampaat	teeth
fe	moFe	rauta	iron
gaa	gaa	viedä	take
hä	hä	hän	he
tin	tinva	ohut	thin
veiv	veiv	laine	wave
boks	boks	laatikko	case
gli	gliuva	liukas	slippery
kuk	kuk	kukka	flower
red	red	puna	red
mak	makva	pehmeä	soft
öf	öfva	oma	own
taun	taun	kaupunki-	urban
alk	vilalkvem	olut	beer
lin	lin	viiva	line
fii	fii	tuntea	feel
rii	rovrii	maksaa	cost
ple	ple	peli	game
rak	rak	pelko	fear
peg	peg	hyönteinen	insect
nat	nat	yö	night
hie	hiekalm	huurre	frost
fri	frivao	vapaus	liberty
hääk	hääk	lyödä	hit
sö	sö	muisti	memory
hap	pikhapva	karvas	bitter
daa	daa	tietää	know
rei	reili	suoraan	direct
he	he	hymy	smile
saf	saf	kärsimys	suffering
suit	suitkavao	sulo	charm
sor	sor	suru	sorrow
kliir	kliir	kirkastaa	enlighten
hed	hed	hedelmä	fruit
kas	kas	onnettomuus	accident
bäg	bäg	laukku	bag
heuu	heuu	heilua	swing
jät	jät	jäte	waste
lek	lek	leikki	play
op	opva	heikko	poor
pyh	pyhva	pyhä	sacred
tre	tre	kolme	three
milk	milk	maito	milk
vit	vitva	valkoinen	white
vin	vin	voitto	winning
töön	töön	kääntää	turn
nit	ponitva	vankka	steady
roo	tegöroo	hyödyntää	utilize
ser	ser	palvelus	service
ring	ring	rengas	ring
rytm	rytm	tahti	rhythm
sos	visoslova	yhteiskunnallinen	social
taj	taj	tai	or
kalm	kalm	jää	ice
töö	töö	tehdä työtä	work
tap	tap	tappi	plug
tak	takva	pimeä	dark
sit	sitos	istuin	seat
riik	riik	lukea	read
ee	ee	elää	live
jus	jusna	juuri	just
son	son	poika	son
lon	lonro	laina	loan
nu	nuva	nuori	young
ruu	ruu	kiinnittää	fix
eej	eej	kieltää	deny
ier	ierpe	käärme	serpent
mii	ruhamiiva	kiinnostava	interesting
pos	pos	riita	dispute
ul	ulva	lyhyt	brief
kros	kros	risti	cross
tik	tiktäär	väristä	shiver
moup	moup	suu	mouth
rauu	rauu	pyöriä	roll
ok	okofo	vastuu	liability
vol	vol	seinä	wall
jää	jää	jäädä	stay
tä	tä	tämä	this
vyy	vyy	auttaa	help
kav	kav	taide	art
iel	ielva	kapea	narrow
kem	ipbekem	keksi	cookie
möyl	möyl	mäki	hill
kar	karmitee	saattaa	dare
tool	tool	rakentaa	build
sak	sak	onni	luck
mäg	mäg	taika	magic
ult	ultli	äärimmäisen	extremely
hep	hep	heinä	hay
fää	fää	myydä	sell
dot	dot	piste	point
rik	rikik	luku	chapter
täär	täär	täristä	shake
vee	savee-en	nuoli	licked
vöö	visavöö	soittaa	call
tiv	vittivva	harmaa	grey
prog	prog	ohjelma	program
heii	heii	heittää	cast
heu	rytmheu	tanssi	dance
hööv	hööv	soittaa	play
lir	lir	vale	lie
tek	tekva	tekninen	technical
traa	traa	yrittää	try
lii	erliien	erikoistunut	specialized
ydin	ydin	sydän	marrow
uus	uus	uskoa	believe
oil	oilmo	öljy	oil
irf	irfjo	vanki	inmate
nek	denekve	niska	neck
ouv	ouv	ovi	door
taark	taark	tarkastaa	check
nos	nos	tyttö	girl
noh	noh	häpeä	shame
lyl	cejlyl	sukupolvi	generation
ku	kulo	keittiö	cuisine
kio	kio	koko	all
vot	votva	märkä	wet
aur	aurlo	aurinko	sun
jäär	jäär	järjestää	organize
niid	niid	tarvita	need
oof	oof	on	has
kuo	kuohomvoom	porista	bubble
pon	öhponli	hiljalleen	slowly
vik	vik	vika	failure
ber	ber	marja	berry
klin	klinva	puhdas	pure
taat	taat	koskettaa	touch
kia	kia	vietto	tilt
suut	suut	ampua	fire
staa	hastaa	kunnostaa	service
nöö	nöö	alkaa	start
maap	maap	kaivaa	dig
jos	jos	jousi	spring
häng	obhängva	riippuvainen	dependent
hit	hitva	harva	few
gla	kauvglamo	lasi	pane
bon	bon	luu	bone
nuuk	nuuk	nukkua	sleep
et	et	lepo	rest
puo	puo	kiinni	closed
tyy	tyy	juosta	run
tuut	tuut	kulkea	go
bek	bekvaar	paistaa	bake
ham	ham	kaasu	gas
mej	usmejli	kai	maybe
oob	yloob	korostaa	highlight
huk	huk	koukku	hook
ty	luty	maraton	marathon
rääj	parääj	sekoittaa	shuffle
rae	rae	rae	grain
kauu	kauu	muotoilla	shape
gno	gno	ratkaisu	solution
fain	fainkava	ihana	fantastic
el	el	päältä	from on
dil	dil	kunta	community
bäk	bäkve	selkä	back
nauh	nauh	nauha	band
am	am	äiti	mother
roov	roov	rahoittaa	finance
sij	sijli	sijasta	instead
vul	vulmo	villa	wool
sen	senrava	eroottinen	erotic
pis	pis	rauha	peace
luf	lufva	tyhjä	empty
kliin	kliin	puhdistaa	clean
ce	cetan	tiistai	Tuesday
