Povopiirta Ögretvote	Boosting Immunity	Vahvistetaan vastustuskykyä
Cowberries are healthy also for immunity. 	Puolbersi oo forterva ali for ögretvote. 	Puolukat ovat terveellisiä myös vastustuskyvyn kannalta.
Deev ja ögretvote povopiirva a emhava molidasi vi forterva eonidtosi, fiemsi a terepsi. Sivotraa a davotraa ja it.	Kehitä vastustuskykyä vahvistavia ja maukkaita reseptejä terveellisillä elintarvikkeilla, mausteilla ja yrteillä. Kokeile ja testaa niitä.	Develop immune-boosting and tasty recipes with healthy foods, spices, and herbs. Give it a try and test it.
Itsi voo muu hava fääteobto a novva tralö. 	Niistä voi tulla hyvä myyntiartikkeli ja uusi yritys.	They can become a good sales article and a new business.
Aap Coronavir Covid-19 li vovao ej li obrisk.	Ota Coronavirus Covid-19 mahdollisuutena, ei uhkana.	 Take Coronavirus Covid-19 as an opportunity not a threat.
Aj voo rorikaa, likatoo, kasoo a hastvostaa ajof roem vi prog aj oo deeven na 10 jänsi li ajof mite: ROEEMTE HASTVOSTAATE, KASOOTE A DAKA.	Voin analysoida, mallintaa, suunnitella ja optimoida ravintoani ohjelmalla, jonka olen kehittänyt 10 vuoden aikana harrastuksena: RAVITSEMUKSEN OPTIMOINTI, SUUNNITTELU JA TUTKIMUS	 I can analyze, model, plan and optimize my nutrition with a program I have developed during 10 years as my hobby: NUTRITION OPTIMIZATION, DESIGN AND RESEARCH
Nukao öb ögretvote	Katsaus vastustuskykyyn (immuniteettiin)	 Overview of resistance (immunity)
Tu tartretsi yys fosikpesi in rettart, itsiof sipiirte in obö a isjo-of ögretvote.	Tartuntatauteihin vaikuttaa infektion sisältämien mikrobien määrä, niiden lisääntyminen kohteessa ja yksilön vastustuskyky.	  Infectious diseases are affected by the number of microbes in the infection, their multiplication in the target and the individual’s resistance.
In knitpikvo önpik oo 100 fossi virsi.	Neulan kärjessä on 100 miljoonaa virusta.	 There are 100 million viruses at the tip of the needle.
Ajsi ej voo fulli urpiit fosikpesi, öb kosi ik oo görova seefjösi, ösi syy retsi denen, na itsi voo sipiir in siev, na ögretvote oo opva.	Emme voi välttää täysin mikrobeja, joista osa on hyödyllisiä suojaajia, jotkut aiheuttavat sairauksia vasta, kun ne voivat lisääntyä elimistössä, kun vastustuskyky on heikko.	 We cannot completely avoid microbes, some of which are useful as protective agents, some of which cause disease only when they can reproduce in the body when resistance is poor.
If ja retmuu gnoli a sina tu tartretsi, jaof ögretvote ej oo hast vova.	Jos sairastut helposti ja usein tartuntatauteihin, vastustuskykysi ei ole paras mahdollinen.	 If you are easily and frequently infected with infectious diseases, your resistance is not the best possible.
Tu ögretvote yys ter, nervögpo, roeemte a uute.	Resistenssiin vaikuttavat terveys, stressi, ravitsemus ja liikunta.	 Resistance is influenced by health, stress, nutrition and physical activity.
Uute hapiir tihnava vosta a vosta oo tihna hava ali for ögretvote.	Liikunta parantaa yleistä kuntoa ja kunto on yleensä hyvä myös vastustuskykyyn.	Exercise improves general fitness and fitness is also generally good for resistance.
Vehva taj rafrili poaapva uute pirpaa ögretvote a seef ög yllapir evhoomtul rettartsi.	Kevyt tai kohtalaisen rasittava liikunta lisää vastustuskykyä ja suojaa ylempien hengitysteiden infektioita vastaan.	 Exercising lightly or moderately strenuous exercise will increase resistance and protect against upper respiratory tract infections.
